Title,Authors,Platform,Cited_url,Cited_count,Year
The Proteus effect: The effect of transformed self-representation on behavior,"N Yee, J Bailenson","Human communication research 33 (3), 271-290",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1843739896183593982,1184,2007
Immersive virtual environment technology as a methodological tool for social psychology,"J Blascovich, J Loomis, AC Beall, KR Swinth, CL Hoyt, JN Bailenson","Psychological Inquiry 13 (2), 103-124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15517761723238220517,960,2002
The unbearable likeness of being digital: The persistence of nonverbal social norms in online virtual environments,"N Yee, JN Bailenson, M Urbanek, F Chang, D Merget","CyberPsychology & Behavior 10 (1), 115-121",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5666227330182962672,724,2007
The Proteus effect: Implications of transformed digital self-representation on online and offline behavior,"N Yee, JN Bailenson, N Ducheneaut","Communication Research 36 (2), 285-312",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13493992798904835958,629,2009
Interpersonal distance in immersive virtual environments,"JN Bailenson, J Blascovich, AC Beall, JM Loomis","Personality and Social Psychology Bulletin 29 (7), 819-833",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7810176875500798157,595,2003
Digital chameleons: Automatic assimilation of nonverbal gestures in immersive virtual environments,"JN Bailenson, N Yee","Psychological science 16 (10), 814-819",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14308724022117410343,559,2005
Increasing saving behavior through age-progressed renderings of the future self,"HE Hershfield, DG Goldstein, WF Sharpe, J Fox, L Yeykelis, ...","Journal of Marketing Research 48 (SPL), S23-S37",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4133936860412382224,472,2011
Equilibrium theory revisited: Mutual gaze and personal space in virtual environments,"JN Bailenson, J Blascovich, AC Beall, JM Loomis","Presence: Teleoperators & Virtual Environments 10 (6), 583-598",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=722379882733063110,436,2001
"Infinite reality: Avatars, eternal life, new worlds, and the dawn of the virtual revolution","J Blascovich, J Bailenson",William Morrow & Co,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18040199708779588324,421,2011
Virtual self-modeling: The effects of vicarious reinforcement and identification on exercise behaviors,"J Fox, JN Bailenson","Media Psychology 12 (1), 1-25",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13317773785710980036,413,2009
