Title,Authors,Platform,Cited_url,Cited_count,Year
Compact finite difference schemes with spectral-like resolution,SK Lele,"Journal of computational physics 103 (1), 16-42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=847556858541829208,5936,1992
Boundary Conditions for Direct Simulation of Compressible Viscous Reacting Flows,"TJ Poinsot, SK Lele","Journal of Computational Physics 101, 104-129",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6854516167650207206,3378,1992
Computational aeroacoustics: progress on nonlinear problems of sound generation,"T Colonius, SK Lele","Progress in Aerospace sciences 40 (6), 345-416",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=917065796645061136,470,2004
Sound generation in a mixing layer,"T Colonius, SK Lele, P Moin","Journal of Fluid Mechanics 330, 375-409",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4426192887627961278,423,1997
Compressibility effects on turbulence,SK Lele,"Annual review of fluid mechanics 26 (1), 211-254",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=469034850179125986,411,1994
Computational prediction of flow-generated sound,"M Wang, JB Freund, SK Lele","Annu. Rev. Fluid Mech. 38, 483-512",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4158658627472441621,399,2006
Boundary conditions for direct computation of aerodynamic sound generation,"TIM Colonius, SK Lele, P Moin","AIAA journal 31 (9), 1574-1582",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13172160266275921331,361,1993
Motion of particles with inertia in a compressible free shear layer,"M Samimy, SK Lele","Physics of Fluids A: Fluid Dynamics 3 (8), 1915-1923",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7851014189953120059,335,1991
Simulation of spatially evolving turbulence and the applicability of Taylor’s hypothesis in compressible flow,"S Lee, SK Lele, P Moin","Physics of Fluids A: Fluid Dynamics 4 (7), 1521-1530",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11842310760207387665,312,1992
A robust high-order compact method for large eddy simulation,"S Nagarajan, SK Lele, JH Ferziger","Journal of Computational Physics 191 (2), 392-419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14970965071061969888,295,2003
Direct numerical simulation of isotropic turbulence interacting with a weak shock wave,"S Lee, SK Lele, P Moin","Journal of Fluid Mechanics 251, 533-562",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13356961232527711717,272,1993
Assessment of high-resolution methods for numerical simulations of compressible turbulence with shock waves,"E Johnsen, J Larsson, AV Bhagatwala, WH Cabot, P Moin, BJ Olson, ...","Journal of Computational Physics 229 (4), 1213-1237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15936858156774495769,249,2010
On the coherent drag-reducing and turbulence-enhancing behaviour of polymers in wall flows,"Y Dubief, CM White, VE Terrapon, ESG Shaqfeh, P Moin, SK Lele","Journal of Fluid Mechanics 514, 271-280",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5232761827419798012,248,2004
Eddy shocklets in decaying compressible turbulence,"S Lee, SK Lele, P Moin","Physics of Fluids A: Fluid Dynamics 3 (4), 657-664",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4756175129717487505,242,1991
Interaction of isotropic turbulence with shock waves: effect of shock strength,"S Lee, SK Lele, P Moin","Journal of Fluid Mechanics 340, 225-247",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17053047800612771368,234,1997
On using large-eddy simulation for the prediction of noise from cold and heated turbulent jets,"DJ Bodony, SK Lele","Physics of Fluids 17 (8), 085103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4053123169414230604,224,2005
The influence of entropy fluctuations on the interaction of turbulence with a shock wave,"K Mahesh, SK Lele, P Moin","Journal of Fluid Mechanics 334, 353-379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13487761633762725002,222,1997
Direct computation of the sound from a compressible co-rotating vortex pair,"BE Mitchell, SK Lele, P Moin","Journal of Fluid Mechanics 285, 181-202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6847166945044203869,218,1995
Large-eddy simulation of jet mixing in supersonic crossflows,"S Kawai, SK Lele","AIAA journal 48 (9), 2063-2083","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8536398720762083571,16239478994417846272",213,2010
