Title,Authors,Platform,Cited_url,Cited_count,Year
Syntax and Semantics of Questions,L Karttunen,"Linguistics and Philosophy 1, 1-44",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5999497799697661928,1993,1977
Conventional Implicature,"L Karttunen, S Peters","Syntax and Semantics 11, Presupposition, 1-56",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6110636254839534915,1821,1979
Discourse referents,L Karttunen,INTERNATIONAL CONFERENCE ON COMPUTATIONAL LINGUISTICS COLING 1969: Preprint …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17091661321992469499,1161,1969
Presupposition and linguistic context,L Karttunen,"Theoretical linguistics 1 (1-3), 181-194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13660420392140275886,1066,1974
Finite State Morphology,"KR Beesley, L Karttunen",CSLI Publications,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16917741224038835091,12969631209744237443",1061,2003
Presuppositions of compound sentences,L Karttunen,"Linguistic inquiry 4 (2), 169-193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16734870226552711889,994,1973
Implicative verbs,L Karttunen,"Language, 340-358",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15811656953709625105,725,1971
Possible and must,L Karttunen,Syntax and Semantics 1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13661153625928836307,255,1972
Regular expressions for language engineering,"L Karttunen, JP Chanod, G Grefenstette, A Schille","Natural Language Engineering 2 (4), 305-328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8512995077682542512,250,1996
Pronouns and variables,L Karttunen,"Fifth Regional Meeting of the Chicago Linguistics Society, 108-115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8624330336589155066,232,1969
Radical lexicalism,L Karttunen,CSLI,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11088140498071250064,228,1986
Two-level morphology with composition,"L Karttunen, RM Kaplan, A Zaenen",COLING 1992 Volume 1: The 15th International Conference on Computational …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10640012977414980912,222,1992
Features and values,L Karttunen,Proceedings of the 10th International Conference on Computational …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15657927988582866126,216,1984
The proper treatment of optimality in computational phonology: plenary talk,L Karttunen,Proceedings of the International Workshop on Finite State Methods in Natural …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=421592831712533986,213,1998
The replace operator,L Karttunen,"Finite-State Language Processing, 117-147",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=235942928674418127,178,1997
Constructing lexical transducers,L Karttunen,COLING 1994 Volume 1: The 15th International Conference on Computational …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5480031282269645085,160,1994
D-PATR: A development environment for unification-based grammars,L Karttunen,Coling 1986 Volume 1: The 11th International Conference on Computational …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2628687657559889981,147,1986
Finite-state constraints,L Karttunen,"The last phonological rule, 173-194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17500869274023283657,142,1993
