Title,Authors,Platform,Cited_url,Cited_count,Year
Executive summary: heart disease and stroke statistics—2013 update: a report from the American Heart Association,"AS Go, D Mozaffarian, VL Roger, EJ Benjamin, JD Berry, WB Borden, ...","Circulation 127 (1), 143-152","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1257410697105084433,10257194513212918033,4117379661202594505,410886075885659304,13337470486145177255,12960707862178439566,1584569991291942130,5301156642289442768,14252372775208904155,6162116165863662963,16392950377503347690,16340881590052849236,9434879607038768489,364342270986145848,4684554411982392925,9622830945440450053,15911376512077358406,7421899907338075260,5900577121642570880,9531359903253999229,15055860569204372805,17729174812473979883,5334058132086803596,12519183566482296281,2719596627166889685,5418095997405149602,16414781886901419559,10156374236527001218,10339125450240528422",27250,2013
Heart disease and stroke statistics--2012 update: a report from the American Heart Association.,"VL Roger, AS Go, DM Lloyd-Jones, EJ Benjamin, JD Berry, WB Borden, ...","Circulation 125 (1), e2-e220","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1542958399579433181,10420820316078884503,9880218476430696093,76975389786057,3300765784436423751,16927707667169252874,6610316723542689450,13139471174843978022,6675228171422626542",12657,2012
Heart disease and stroke statistics--2012 update: a report from the American Heart Association.,"VL Roger, AS Go, DM Lloyd-Jones, EJ Benjamin, JD Berry, WB Borden, ...","Circulation 125 (1), e2-e220",,12643,2012
Executive summary: heart disease and stroke statistics—2010 update: a report from the American Heart Association,"Writing Group Members, D Lloyd-Jones, RJ Adams, TM Brown, ...","Circulation 121 (7), 948-954",,7158,2010
Executive summary: heart disease and stroke statistics—2010 update: a report from the American Heart Association,"Writing Group Members, D Lloyd-Jones, RJ Adams, TM Brown, ...","Circulation 121 (7), 948-954",,7158,2010
Heart disease and stroke statistics-2017 update: a report from the American Heart Association.,"EJ Benjamin, MJ Blaha, SE Chiuve, M Cushman, SR Das, R Deo, J Floyd, ...","circulation 135 (10), e146-e603","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12750599967268488540,8973070304884454513,860026629405589317",6480,2017
Heart disease and stroke statistics—2009 update: a report from the American Heart Association Statistics Committee and Stroke Statistics Subcommittee,"Writing Group Members, D Lloyd-Jones, R Adams, M Carnethon, ...","Circulation 119 (3), 480-486",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12740155588857639352,4830,2009
"2017 ACC/AHA/AAPA/ABC/ACPM/AGS/APhA/ASH/ASPC/NMA/PCNA guideline for the prevention, detection, evaluation, and management of high blood pressure in adults: a report of the …","PK Whelton, RM Carey, WS Aronow, DE Casey, KJ Collins, ...","Journal of the American College of Cardiology 71 (19), e127-e248","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12686711569574239807,15235597002224520541,10793143760810962964,17652909283772778944",3322,2018
American Heart Association statistics committee and stroke statistics subcommittee,"EJ Benjamin, MJ Blaha, SE Chiuve, M Cushman, SR Das, R Deo, ...",Heart disease and stroke statistics-2017 update: a report from the American …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14100364970459236610,296548341301487510,5564756840592902513,12023354994865598635",1717,2017
"Comparison of the Atkins, Zone, Ornish, and LEARN diets for change in weight and related risk factors among overweight premenopausal women: the A TO Z Weight Loss Study: a …","CD Gardner, A Kiazand, S Alhassan, S Kim, RS Stafford, RR Balise, ...","Jama 297 (9), 969-977",,1230,2007
"Comparison of the Atkins, Zone, Ornish, and LEARN diets for change in weight and related risk factors among overweight premenopausal women: the A TO Z Weight Loss Study: a …","CD Gardner, A Kiazand, S Alhassan, S Kim, RS Stafford, RR Balise, ...","Jama 297 (9), 969-977",,1230,2007
"Comparison of the Atkins, Zone, Ornish, and LEARN diets for change in weight and related risk factors among overweight premenopausal women: the A TO Z Weight Loss Study: a …","CD Gardner, A Kiazand, S Alhassan, S Kim, RS Stafford, RR Balise, ...","Jama 297 (9), 969-977",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16655664735753111880,1230,2007
National use of postmenopausal hormone therapy: annual trends and response to recent evidence,"AL Hersh, ML Stefanick, RS Stafford","Jama 291 (1), 47-53",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9481653192087110950,1047,2004
How common is prostatitis? A national survey of physician visits,"MMN Collins, RS STAFFORD, MP O'LEARY, MJ BARRY","The Journal of urology 159 (4), 1224-1228",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15724382116420804238,948,1998
Off-label prescribing among office-based physicians,"DC Radley, SN Finkelstein, RS Stafford","Archives of internal medicine 166 (9), 1021-1026",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4373270532537360031,755,2006
Estrogen plus progestin and risk of venous thrombosis,"M Cushman, LH Kuller, R Prentice, RJ Rodabough, BM Psaty, RS Stafford, ...","Jama 292 (13), 1573-1580",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10618159587256302984,618,2004
Electronic health record use and the quality of ambulatory care in the United States,"JA Linder, J Ma, DW Bates, B Middleton, RS Stafford","Archives of internal medicine 167 (13), 1400-1405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9977624339062622560,526,2007
National patterns in the treatment of smokers by physicians,"AN Thorndike, NA Rigotti, RS Stafford, DE Singer","Jama 279 (8), 604-608",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1087608077402450513,466,1998
Regulating off-label drug use—rethinking the role of the FDA,RS Stafford,"New England Journal of Medicine 358 (14), 1427-1429",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14015828207902953557,405,2008
"Increasing off‐label use of antipsychotic medications in the United States, 1995–2008","GC Alexander, SA Gallagher, A Mascola, RM Moloney, RS Stafford","Pharmacoepidemiology and drug safety 20 (2), 177-184",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5713838921869232252,395,2011
Socioeconomic differences in rates of cesarean section,"JB Gould, B Davey, RS Stafford","New England Journal of Medicine 321 (4), 233-239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2324874559969664787,379,1989
"The underutilization of cardiacmedications of proven benefit, 1990 to 2002","RS Stafford, DC Radley","Journal of the American College of Cardiology 41 (1), 56-61",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6129389284232455186,330,2003
"Outpatient hypertension treatment, treatment intensification, and control in Western Europe and the United States","YR Wang, GC Alexander, RS Stafford","Archives of internal medicine 167 (2), 141-147",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13754029153417085131,328,2007
"Antibiotic treatment of adults with sore throat by community primary care physicians: a national survey, 1989-1999","JA Linder, RS Stafford","Jama 286 (10), 1181-1186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4396597151236607503,326,2001
Electronic health records and clinical decision support systems: impact on national ambulatory care quality,"MJ Romano, RS Stafford","Archives of internal medicine 171 (10), 897-903",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1664032401290389597,324,2011
Fluoroquinolone prescribing in the United States: 1995 to 2002,"JA Linder, ES Huang, MA Steinman, R Gonzales, RS Stafford","The American journal of medicine 118 (3), 259-268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13778650534304445487,317,2005
American Heart Association Statistics Committee and Stroke Statistics Subcommittee. Executive summary: heart disease and stroke statistics–2010 update: a report from the …,"D Lloyd-Jones, RJ Adams, TM Brown, M Carnethon, S Dai, G De Simone, ...","Circulation 121 (7), 948-954",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3394640146381778676,312,2010
"Symptoms of depression as a risk factor for incident diabetes: findings from the National Health and Nutrition Examination Epidemiologic Follow-up Study, 1971–1992","MR Carnethon, LS Kinder, JM Fair, RS Stafford, SP Fortmann","American journal of epidemiology 158 (5), 416-423",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6380189057925057469,292,2003
Recent national patterns of warfarin use in atrial fibrillation,"RS Stafford, DE Singer","Circulation 97 (13), 1231-1233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16618420345026369590,280,1998
"Ambulatory diagnosis and treatment of non-malignant pain in the United States, 2000–2010","M Daubresse, HY Chang, Y Yu, S Viswanathan, ND Shah, RS Stafford, ...",Medical care 51 (10),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14728975457715454610,5857017434176422672",276,2013
National trends in antiarrhythmic and antithrombotic medication use in atrial fibrillation,"MC Fang, RS Stafford, JN Ruskin, DE Singer","Archives of internal medicine 164 (1), 55-60",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6450762441015219050,274,2004
"National trends in oral anticoagulant use in the United States, 2007 to 2011","K Kirley, DM Qato, R Kornfield, RS Stafford, GC Alexander","Circulation: Cardiovascular Quality and Outcomes 5 (5), 615-621",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5989907793155144616,262,2012
National patterns of warfarin use in atrial fibrillation,"RS Stafford, DE Singer","Archives of internal medicine 156 (22), 2537-2541",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12343754832275516586,261,1996
"National trends in treatment of type 2 diabetes mellitus, 1994-2007","GC Alexander, NL Sehgal, RM Moloney, RS Stafford","Archives of internal medicine 168 (19), 2088-2094",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10950411849897639944,252,2008
National patterns of physician activities related to obesity management,"RS Stafford, JH Farhat, B Misra, DA Schoenfeld","Archives of Family Medicine 9 (7), 631-641",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7284575225482832974,250,2000
Translating the Diabetes Prevention Program lifestyle intervention for weight loss into primary care: a randomized trial,"J Ma, V Yank, L Xiao, PW Lavori, SR Wilson, LG Rosas, RS Stafford","JAMA internal medicine 173 (2), 113-121",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6253295521077516021,248,2013
Systematic review: benefits and harms of in-hospital use of recombinant factor VIIa for off-label indications,"V Yank, CV Tuohy, AC Logan, DM Bravata, K Staudenmayer, R Eisenhut, ...","Annals of internal medicine 154 (8), 529-540",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8920943081018702528,235,2011
The impact of nonclinical factors on repeat cesarean section,RS Stafford,"Jama 265 (1), 59-63",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15870951413639556665,205,1991
Cesarean section use and source of payment: an analysis of California hospital discharge abstracts.,RS Stafford,"American Journal of Public Health 80 (3), 313-315",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12440727386359521968,200,1990
National patterns of angiotensin-converting enzyme inhibitor use in congestive heart failure,"RS Stafford, D Saglam, D Blumenthal","Archives of internal medicine 157 (21), 2460-2464",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7080831201188359779,197,1997
Promotion and prescribing of hormone therapy after report of harm by the Women’s Health Initiative,"SR Majumdar, EA Almasi, RS Stafford","Jama 292 (16), 1983-1988",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11633195304200749970,190,2004
The duration of ambulatory visits to physicians.,"D Blumenthal, N Causino, YC Chang, L Culpepper, W Marder, D Saglam, ...","Journal of Family Practice 48 (4), 264-272",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9365011019333641545,188,1999
National patterns in the treatment of urinary tract infections in women by ambulatory care physicians,"ES Huang, RS Stafford","Archives of internal medicine 162 (1), 41-47",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3504052783439719672,178,2002
"Guideline for the Prevention, Detection","PK Whelton, RM Carey, WS Aronow, DE Casey Jr, KJ Collins, ...","Evaluation, and Management of High Blood Pressure in Adults. Hypertension 71 (6)","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14244917651787772160,12505009679734825427",175,2017
Women’s Health Initiative Investigators. Estrogen plus progestin and risk of venous thrombosis,"M Cushman, LH Kuller, R Prentice, RJ Rodabough, BM Psaty, RS Stafford, ...","Jama 292 (13), 1573-1580",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16483245201953569826,167,2004
Variations in cholesterol management practices of US physicians,"RS Stafford, D Blumenthal, RC Pasternak","Journal of the American College of Cardiology 29 (1), 139-146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18030951221314076760,158,1997
Herbal medicine in Europe—relaxing regulatory standards,PAGM De Smet,"New England Journal of Medicine 352 (12), 1176-1178",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15508425580100564023,157,2005
Alternative strategies for controlling rising cesarean section rates,RS Stafford,"JAMA 263 (5), 683-687",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7677195205652723198,157,1990
Diet and physical activity counseling during ambulatory care visits in the United States,"J Ma, GG Urizar Jr, T Alehegn, RS Stafford","Preventive medicine 39 (4), 815-822",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10233535436928583861,149,2004
HIV infection among patients in US acute care hospitals: strategies for the counseling and testing of hospital patients,"RS Janssen, ME St. Louis, GA Satten, SE Critchley, LR Petersen, ...","New England Journal of Medicine 327 (7), 445-452",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10406219641705862084,149,1992
National trends in cyclooxygenase-2 inhibitor use since market release: nonselective diffusion of a selectively cost-effective innovation,"C Dai, RS Stafford, GC Alexander","Archives of internal medicine 165 (2), 171-177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17948623588929781455,146,2005
Off-label use of recombinant factor VIIa in US hospitals: analysis of hospital records,"AC Logan, V Yank, RS Stafford","Annals of Internal Medicine 154 (8), 516-522",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13054087279186321191,135,2011
Aspirin use is low among United States outpatients with coronary artery disease,RS Stafford,"Circulation 101 (10), 1097-1101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1630490719117828658,134,2000
"National trends in osteoporosis visits and osteoporosis treatment, 1988-2003","RS Stafford, RL Drieling, AL Hersh","Archives of internal medicine 164 (14), 1525-1530",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9227666028729785193,132,2004
"National patterns of medication treatment for depression, 1987 to 2001","RS Stafford, EA MacDonald, SN Finkelstein","Primary care companion to the Journal of Clinical Psychiatry 3 (6), 232",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6620615428545012145,123,2001
National trends in antiobesity medication use,"RS Stafford, DC Radley","Archives of internal medicine 163 (9), 1046-1050",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7429470608720731568,122,2003
National trends in statin use by coronary heart disease risk category,"J Ma, NL Sehgal, JZ Ayanian, RS Stafford","PLoS medicine 2 (5), e123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9816137429136987185,121,2005
US adolescents receive suboptimal preventive counseling during ambulatory care,"J Ma, Y Wang, RS Stafford","Journal of Adolescent Health 36 (5), 441. e1-441. e7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14748544283591840834,118,2005
"Ambulatory treatment of type 2 diabetes in the US, 1997–2012","LW Turner, D Nartey, RS Stafford, S Singh, GC Alexander","Diabetes Care 37 (4), 985-992",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7495982511042227827,117,2014
Trends in prescribing of selective serotonin reuptake inhibitors and other newer antidepressant agents in adult primary care,"PA Pirraglia, RS Stafford, DE Singer","Primary care companion to the Journal of clinical psychiatry 5 (4), 153",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8364280770141642947,117,2003
The impact of cancer on the physical function of the elderly and their utilization of health care,"RS Stafford, PL Cyr",Cancer: Interdisciplinary International Journal of the American Cancer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5077491010605252068,117,1997
"Impact of clinical trial results on national trends in α-blocker prescribing, 1996-2002","RS Stafford, CD Furberg, SN Finkelstein, IM Cockburn, T Alehegn, J Ma","Jama 291 (1), 54-62",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17677847829725429848,116,2004
What are the public health effects of direct-to-consumer drug advertising?,"EA Almasi, RS Stafford, RL Kravitz, PR Mansfield","PLos medicine 3 (3), e145",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16998779494299300101,106,2006
National trends in the use of antibiotics by primary care physicians for adult patients with cough,"JP Metlay, RS Stafford, DE Singer","Archives of internal medicine 158 (16), 1813-1818",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7294510933260715399,105,1998
Association between antibiotic prescribing and visit duration in adults with upper respiratory tract infections,"JA Linder, DE Singer, RS Stafford","Clinical therapeutics 25 (9), 2419-2430",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7634982820174786520,104,2003
"Trends in antihypertensive drug advertising, 1985–1996","TJ Wang, JC Ausiello, RS Stafford","Circulation 99 (15), 2055-2057",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6504432381376952602,103,1999
Prioritizing future research on off‐label prescribing: results of a quantitative evaluation,"SM Walton, GT Schumock, KV Lee, GC Alexander, D Meltzer, RS Stafford",Pharmacotherapy: The Journal of Human Pharmacology and Drug Therapy 28 (12 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6801520422533391138,102,2008
Changes in antihypertensive prescribing during US outpatient visits for uncomplicated hypertension between 1993 and 2004,"J Ma, KV Lee, RS Stafford","Hypertension 48 (5), 846-852",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3363683130107699418,101,2006
"Trends in menopausal hormone therapy use of US office-based physicians, 2000-2009","SA Tsai, ML Stefanick, RS Stafford","Menopause (New York, NY) 18 (4), 385",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6846865024227441442,99,2011
Long-term and short-term changes in antihypertensive prescribing by office-based physicians in the United States,"RS Stafford, V Monti, CD Furberg, J Ma","Hypertension 48 (2), 213-218",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15320082239083197726,96,2006
Depression treatment during outpatient visits by US children and adolescents,"J Ma, KV Lee, RS Stafford","Journal of Adolescent Health 37 (6), 434-442",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13872086691439884633,96,2005
Evaluation of the adequacy of outpatient antidepressant treatment,"JB Weilburg, KM O'Leary, JB Meigs, J Hennen, RS Stafford","Psychiatric Services 54 (9), 1233-1239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2990828646964097219,96,2003
US physicians' treatment of smoking in outpatients with psychiatric diagnoses,"AN Thorndike, RS Stafford, NA Rigotti","Nicotine & Tobacco Research 3 (1), 85-91",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7156354003507711274,95,2001
Americans are not meeting current calcium recommendations,"J Ma, RA Johns, RS Stafford","The American journal of clinical nutrition 85 (5), 1361-1366",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17506386932217709303,94,2007
A statistical analysis of the magnitude and composition of drug promotion in the United States in 1998,"J Ma, RS Stafford, IM Cockburn, SN Finkelstein","Clinical therapeutics 25 (5), 1503-1517",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7266367442582591270,93,2003
Trends in adult visits to primary care physicians in the United States,"RS Stafford, D Saglam, N Causino, B Starfield, L Culpepper, WD Marder, ...","Archives of family medicine 8, 26-32",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4524592714491727101,93,1999
National patterns and predictors of β-blocker use in patients with coronary artery disease,"TJ Wang, RS Stafford","Archives of Internal Medicine 158 (17), 1901-1906",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7250374621852721615,89,1998
Changes in the daily practice of primary care for children,"TG Ferris, D Saglam, RS Stafford, N Causino, B Starfield, L Culpepper, ...","Archives of pediatrics & adolescent medicine 152 (3), 227-233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1390510978414874055,89,1998
"National trends in asthma visits and asthma pharmacotherapy, 1978-2002","RS Stafford, J Ma, SN Finkelstein, K Haver, I Cockburn","Journal of allergy and clinical immunology 111 (4), 729-735",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=42306942113135153,88,2003
From “sick care” to health care: Reengineering prevention into the US system,"FF Marvasti, RS Stafford","The New England journal of medicine 367 (10), 889",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2700830413142662152,87,2012
