Title,Authors,Platform,Cited_url,Cited_count,Year
KinectFaceDB: A Kinect Database for Face Recognition,"R Min, N Kose, JL Dugelay","IEEE Transactions on Systems, Man, and Cybernetics: Systems, 1534 - 1548",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12265069979365493047,184,2014
An efficient LBP-based descriptor for facial depth images applied to gender recognition using RGB-D face data,"Tri Huynh, Rui Min, Jean-Luc Dugelay",Computer Vision-ACCV 2012 Workshops,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10760269041227253794,139,2013
Improving the recognition of faces occluded by facial accessories,"R Min, A Hadid, JL Dugelay","Face and Gesture 2011, 442-447",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2928928843757086417,91,2011
Real-time 3D face identification from a depth camera,"R Min, J Choi, G Medioni, JL Dugelay",Proceedings of the 21st International Conference on Pattern Recognition …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6619436001039734826,54,2012
Multi‐atlas based representations for Alzheimer's disease diagnosis,"R Min, G Wu, J Cheng, Q Wang, D Shen, ...","Human brain mapping 35 (10), 5052-5070",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7063286928897483247,41,2014
Efficient detection of occlusion prior to robust face recognition,"R Min, A Hadid, JL Dugelay",The Scientific World Journal 2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3846284368157940886,31,2014
Improved combination of LBP and sparse representation based classification (SRC) for face recognition,"R Min, JL Dugelay","2011 IEEE International Conference on Multimedia and Expo, 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4998677884700434712,27,2011
Efficient scarf detection prior to face recognition,"R Min, A d'Angelo, JL Dugelay","2010 18th European Signal Processing Conference, 259-263",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14388104806526316484,16,2010
Inpainting of sparse occlusion in face recognition,"R Min, JL Dugelay","2012 19th IEEE International Conference on Image Processing, 1425-1428",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1570629277255317909,12,2012
Maximum-margin based representation learning from multiple atlases for Alzheimer’s disease classification,"R Min, J Cheng, T Price, G Wu, D Shen",International Conference on Medical Image Computing and Computer-Assisted …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12244878423934617982,6,2014
BIOFACE: a biometric face demonstrator,"M Ouaret, A Dantcheva, R Min, L Daniel, JL Dugelay","Proceedings of the 18th ACM international conference on Multimedia, 1613-1616",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1530615666778267481,4,2010
Cap detection for moving people in entrance surveillance,"R Min, JL Dugelay","Proceedings of the 19th ACM international conference on Multimedia, 1253-1256",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9388638615279565947,3,2011
Multitemplate-based multiview learning for Alzheimer’s disease diagnosis,"M Liu, R Min, Y Gao, D Zhang, D Shen","Machine Learning and Medical Imaging, 259-297",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=40347449164675864,2,2016
Face recognition robust to occlusions,R Min,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11042999360208981758,2,2013
Introduction to biometry,"C Velardo, JL Dugelay, L Daniel, A Dantcheva, N Erdogmus, N Kose, ...",CRC Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14600764765957182422,1,2011
MAHCI 2019: The 2nd Workshop on Multimedia for Accessible Human Computer Interface,"X Liu, R Min, T McDaniel","Proceedings of the 27th ACM International Conference on Multimedia, 2730-2731",,0,2019
"Bringing Vision to the Blind: From Coarse to Fine, One Dollar at a Time","T Huynh, J Pillai, E Kim, K Aw, J Sim, K Goldman, R Min","2019 IEEE Winter Conference on Applications of Computer Vision (WACV), 481-490",,0,2019
"Bringing Vision To The Blind: From Coarse To Fine, One Dollar At A Time","E Kim, J Sim, J Pillai, K Goldman, K Aw, R Min, T Huynh",,,0,2019
MAHCI 2018: The 1st Workshop on Multimedia for Accessible Human Computer Interface,"X Liu, R Min, B Huet, J Jia","Proceedings of the 26th ACM international conference on Multimedia, 2118-2119",,0,2018
Proceedings of the 2018 Workshop on Multimedia for Accessible Human Computer Interface,"X Liu, R Min, B Huet, J Jia",2018 Workshop on Multimedia for Accessible Human Computer Interface,,0,2018
Reconnaissance de visage robuste aux occultations,R Min,"Paris, ENST",,0,2013
