Title,Authors,Platform,Cited_url,Cited_count,Year
"Trecvid 2016: Evaluating video search, video event detection, localization, and hyperlinking","G Awad, J Fiscus, D Joy, M Michel, A Smeaton, W Kraaij, M Eskevich, ...",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5596534423451111156,119,2016
Line pattern retrieval using relational histograms,"B Huet, ER Hancock","IEEE Transactions on Pattern Analysis and Machine Intelligence 21 (12), 1363 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6693422374500523159,103,1999
"TRECVID 2017: Evaluating Ad-hoc and Instance Video Search, Events Detection, Video Captioning, and Hyperlinking","G Awad, A Butt, J Fiscus, D Joy, A Delgado, W Mcclinton, M Michel, ...",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14178974711679615090,74,2017
"Social Event Detection at MediaEval 2011: Challenges, dataset and evaluation.","S Papadopoulos, R Troncy, V Mezaris, B Huet, I Kompatsiaris",MediaEval,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7306346590610360079,66,2011
Finding media illustrating events,"X Liu, R Troncy, B Huet","Proceedings of the 1st ACM International Conference on Multimedia Retrieval, 58",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4393278562019656302,60,2011
Using social media to identify events,"X Liu, R Troncy, B Huet","Proceedings of the 3rd ACM SIGMM international workshop on Social media, 3-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5635299022206780489,56,2011
Toward emotion indexing of multimedia excerpts,"M Paleari, B Huet","2008 International Workshop on Content-Based Multimedia Indexing, 425-432",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6030859088965379878,53,2008
Evidence theory-based multimodal emotion recognition,"M Paleari, R Benmokhtar, B Huet","International Conference on Multimedia Modeling, 435-446",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1420941814012049038,52,2009
Relational histograms for shape indexing,"B Huet, ER Hancock",Sixth International Conference on Computer Vision (IEEE Cat. No. 98CH36271 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2551971260076043417,52,1998
Shape recognition from large image libraries by inexact graph matching,"B Huet, ER Hancock","Pattern Recognition Letters 20 (11-13), 1259-1269",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1798710902007853034,50,1999
A multimodal approach to music transcription,"M Paleari, B Huet, A Schutz, D Slock","2008 15th IEEE International Conference on Image Processing, 93-96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=49686493817295155,45,2008
Method of adapting video images to small screen sizes,"J Deigmoeller, G Stoll, H Neuschmied, A Kriechbaum, JBDS Cardoso, ...","US Patent 8,432,492",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16524243376553736011,40,2013
Heterogeneous features and model selection for event-based media classification,"X Liu, B Huet",Proceedings of the 3rd ACM conference on International conference on …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2712017773809423785,39,2013
When textual and visual information join forces for multimedia retrieval,"B Safadi, M Sahuguet, B Huet","Proceedings of International Conference on Multimedia Retrieval, 265",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3963664662061294940,38,2014
Relational object recognition from large structural libraries,"B Huet, ER Hancock","Pattern Recognition 35 (9), 1895-1915",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1635998759883806683,38,2002
Generating Summaries Of Multi-Episode Video.,"I Yahiaoui, B Merialdo, B Huet",ICME,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14396679653839854294,37,2001
Automatic video summarization,"I Yahiaoui, B Merialdo, B Huet",Proc. CBMIR Conf,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14400975158962469625,36,2001
Latent semantic analysis for an effective region-based video shot retrieval system,"F Souvannavong, B Merialdo, B Huet",Proceedings of the 6th ACM SIGMM international workshop on Multimedia …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1735001748132867491,34,2004
"Multimedia semantics: Metadata, analysis and interaction","R Troncy, B Huet, S Schenk",John Wiley & Sons,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7556466925981109578,31,2011
Features for multimodal emotion recognition: An extensive study,"M Paleari, R Chellali, B Huet","2010 IEEE Conference on Cybernetics and Intelligent Systems, 90-95",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1206610693453478143,31,2010
Region-based video content indexing and retrieval,"F Souvannavong, B Merialdo, B Huet",Proc. of 4th International Workshop on Content-Based Multimedia Indexing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14627658236896748354,31,2005
Towards multimodal emotion recognition: a new approach,"M Paleari, B Huet, R Chellali",Proceedings of the ACM international conference on image and video retrieval …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5265955305980618841,29,2010
Neural network combining classifier based on Dempster-Shafer theory for semantic indexing in video content,"R Benmokhtar, B Huet","International Conference on Multimedia Modeling, 196-205",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=451722061536226144,29,2007
Classifier fusion: combination methods for semantic indexing in video content,"R Benmokhtar, B Huet","International conference on artificial neural networks, 65-74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7424300816261929884,29,2006
