Title,Authors,Platform,Cited_url,Cited_count,Year
On optimal geographical caching in heterogeneous cellular networks,"B Serbetci, J Goseling","2017 IEEE Wireless Communications and Networking Conference (WCNC), 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11111112514841031878,36,2017
A low-complexity approach to distributed cooperative caching with geographic constraints,"K Avrachenkov, J Goseling, B Serbetci",Proceedings of the ACM on Measurement and Analysis of Computing Systems 1 (1 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4667548661607206188,16,2017
Practical polar code construction using generalised generator matrices,"B Serbetci, AE Pusane","IET Communications 8 (4), 419-426",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10289023658777815221,7,2014
Optimal geographical caching in heterogeneous cellular networks with nonhomogeneous helpers,"B Serbetci, J Goseling",arXiv preprint arXiv:1710.09626,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8387711667401613787,3,2017
On the selection of generator matrices for polar coded communication systems,"B Şerbetci, AE Pusane",2012 20th Signal Processing and Communications Applications Conference (SIU …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17367432363537302292,2,2012
Distributed cooperative caching for VoD with geographic constraints,"K Avrachenkov, J Goseling, B Serbetci",arXiv preprint arXiv:1903.02406,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17903521356935897176,1,2019
Distributed Cooperative Caching for Utility Maximization of VoD Systems,"K Avrachenkov, J Goseling, B Serbetci",,,0,2019
Method for Multicasting a Plurality of Data Packets to a Plurality of Receivers,"B Serbetci, J Goseling","US Patent App. 16/061,330",,0,2019
Caching and network coding for smart radio access,B Serbetci,,,0,2018
"Mobile communication system, method of arranging data segments in sequences and method of transmitting an acknowledgement","B Serbetci, J Goseling, L Jorguseski","US Patent App. 15/379,147",,0,2017
Finite-length polarization measures for polar coded systems,"B Serbetci, AE Pusane",2012 IEEE 13th International Workshop on Signal Processing Advances in …,,0,2012
Multi-access coded caching: gains beyond cache-redundancy,"B Serbetci, E Parrinello, P Elia",,,0,0
