Title,Authors,Platform,Cited_url,Cited_count,Year
A tag encoding scheme against pollution attack to linear network coding,"X Wu, Y Xu, C Yuen, L Xiang","IEEE Transactions on Parallel and Distributed Systems 25 (1), 33-42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10149904001931385229,44,2013
System and methods for distributed data storage,"C Yuen, T Van Vo, X Wu, X Wang, W Song, SH Dau, J Pernas","US Patent App. 14/409,991",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5423660067454053343,19,2015
Algorithms for scheduling deadline-sensitive malleable tasks,"X Wu, P Loiseau","2015 53rd Annual Allerton Conference on Communication, Control, and …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=820492241431307412,17,2015
Dispatching fixed-sized jobs with multiple deadlines to parallel heterogeneous servers,"E Hyytiä, R Righter, O Bilenne, X Wu","Performance Evaluation 114, 32-44",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12566852366522166354,7,2017
A Hybrid Scheme against Pollution Attack to Network Coding,"X Wu, Y Xu, L Xiang, W Xu","2011 International Symposium on Networking Coding, 1-4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=503254784450486543,5,2011
Towards designing cost-optimal policies to utilize IaaS clouds with online learning,"X Wu, P Loiseau, E Hyytiä","2017 International Conference on Cloud and Autonomic Computing (ICCAC), 160-171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7406945098942233181,4,2017
On the benefits of QoS-differentiated posted pricing in cloud computing: An analytical model,"X Wu, F De Pellegrini",J. Latex 10,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9145548798633779430,3,2018
Modeling TCP Sack steady state performance in lossy networks,"W Xu, Y Xu, X Wu, K Ou","Information Networking (ICOIN), 2011 International Conference on, 278-283",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8141935296603678493,3,2011
Dispatching Discrete-Size Jobs with Multiple Deadlines to Parallel Heterogeneous Servers,"E Hyytiä, R Righter, O Bilenne, X Wu","Systems Modeling: Methodologies and Tools, 29-46",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7134943160689282887,2,2019
Efficient Algorithms for Scheduling Moldable Tasks,"X Wu, P Loiseau, E Hyytia",arXiv preprint arXiv:1609.08588,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7251943058407916494,7929747814163800407",2,2016
Algorithms for Scheduling Malleable Cloud Tasks,"X Wu, P Loiseau",arXiv preprint arXiv:1501.04343,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4120442018592927015,2,2015
Towards Designing Cost-Optimal Policies to Utilize IaaS Clouds under Online Learning,"X Wu, P Loiseau, E Hyytia",arXiv preprint arXiv:1607.05178,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12153190833783549311,1,2016
Simple algorithms for scheduling monotonic moldable tasks,"P Loiseau, X Wu","CoRR, vol. abs/1609.08588",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7752504324032685756,1,2016
Greedy and Dynamic Programming Algorithms for Scheduling Deadline-Sensitive Parallel Tasks,"P Loiseau, X Wu",arXiv preprint arXiv:1501.04343,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13676325006160207708,1,2015
Towards Designing Cost-Optimal Policies to Utilize IaaS Clouds with Online Learning,"WU Xiaohu, P Loiseau, E Hyytia",IEEE Transactions on Parallel and Distributed Systems,,0,2019
A Framework for Allocating Server Time to Spot and On-demand Services in Cloud Computing,"X Wu, F De Pellegrini, G Gao, G Casale",arXiv preprint arXiv:1902.01321,,0,2019
Performance Analysis of QoS-Differentiated Pricing in Cloud Computing: An Analytical Approach,"X Wu, F De Pellegrini",arXiv preprint arXiv:1709.08909,,0,2017
Dispatching fixed-sized jobs with multiple deadlines to parallel heterogeneous servers,"H Esa, R Rhonda, B Olivier, X Wu",,,0,2017
SYSTEM AND METHODS FOR DISTRIBUTED DATA STORAGE,"Y Chau, T Van Vo, X Wu, W Xiumin, S Wentu, SH Dau, P Jaume",,,0,2015
Modeling TCP performance in reordering and lossy networks,"W Xu, Y Xu, X Wu","Communications and Networking in China (CHINACOM), 2011 6th International …",,0,2011
A Cost-Effective Resource Provisioning Framework using Online Learning in IaaS Clouds,"X Wu, P Loiseau, E Hyytia",,,0,0
Algorithms for Scheduling Malleable Tasks,"X Wu, P Loiseau",,,0,0
