Title,Authors,Platform,Cited_url,Cited_count,Year
A close examination of performance and power characteristics of 4G LTE networks,"J Huang, F Qian, A Gerber, ZM Mao, S Sen, O Spatscheck",Proceedings of the 10th international conference on Mobile systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15626459245553431139,1000,2012
Identifying diverse usage behaviors of smartphone apps,"Q Xu, J Erman, A Gerber, Z Mao, J Pang, S Venkataraman",Proceedings of the 2011 ACM SIGCOMM conference on Internet measurement …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17040841545869613741,444,2011
Characterizing radio resource allocation for 3G networks,"F Qian, Z Wang, A Gerber, ZM Mao, S Sen, O Spatscheck","Proceedings of the 10th ACM SIGCOMM conference on Internet measurement, 137-150",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6483018825331597814,340,2010
Profiling resource usage for mobile applications: a cross-layer approach,"F Qian, Z Wang, A Gerber, Z Mao, S Sen, O Spatscheck",Proceedings of the 9th international conference on Mobile systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7975068572206827009,329,2011
"Nevermind, the problem is already fixed: proactively detecting and troubleshooting customer dsl problems","Y Jin, N Duffield, A Gerber, P Haffner, S Sen, ZL Zhang","Proceedings of the 6th International COnference, 7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9269644696705593290,273,2010
Hybrid Unicast/Anycast Content Distribution Network System,"A Gerber, O Spatscheck, J Van Der Merwe","US Patent App. 12/268,744",,273,2010
Hybrid Unicast/Anycast Content Distribution Network System,"A Gerber, O Spatscheck, J Van der Merwe","US Patent App. 12/268,744",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3643920931244780767,273,2008
Top: Tail optimization protocol for cellular radio resource allocation,"F Qian, Z Wang, A Gerber, ZM Mao, S Sen, O Spatscheck","Network Protocols (ICNP), 2010 18th IEEE International Conference on, 285-294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6909215443883445902,190,2010
The case for enterprise-ready virtual private clouds,"T Wood, A Gerber, KK Ramakrishnan, P Shenoy, J Van der Merwe","Proceedings of the 2009 conference on Hot topics in cloud computing, 4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11268302658199207812,172,2009
To Cache or not to Cache: The 3G case,"J Erman, A Gerber, M Hajiaghayi, D Pei, S Sen, O Spatscheck","Internet Computing, IEEE 15 (2), 27-34",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17865809804647112917,157,2011
