Title,Authors,Platform,Cited_url,Cited_count,Year
An improved algorithm on Viola-Jones object detector,"Q Li, U Niaz, B Merialdo",2012 10th International Workshop on Content-Based Multimedia Indexing (CBMI …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2870987598763030942,20,2012
EURECOM at TrecVid 2012: The light semantic indexing task,"U Niaz, M Redi, C Tanase, B Merialdo, G Farinella, Q Li","Proceedings of the TRECVid 2012 workshop, Gaithersburg, USA, 25-28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2548529710710390843,17,2012
Fusion methods for multi-modal indexing of web data,"U Niaz, B Merialdo",2013 14th International Workshop on Image Analysis for Multimedia …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8151106384123977942,15,2013
Wavelet transform based global features for online signature recognition,"FA Afsar, M Arif, U Farrukh","2005 Pakistan Section Multitopic Conference, 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3520869871690664327,13,2005
Improving video concept detection using uploader model,"U Niaz, B Merialdo","2013 IEEE International Conference on Multimedia and Expo (ICME), 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7357467893785706666,6,2013
Decision-theoretic optimal sampling in hidden Markov random fields,"N Peyrard, R Sabbadin, U Farrokh Niaz",Proceedings of the 2010 conference on ECAI 2010: 19th European Conference on …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10310082256200584113,6,2010
Uploader models for video concept detection,"B Merialdo, U Niaz",2014 12th International Workshop on Content-Based Multimedia Indexing (CBMI …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8695147329987583698,4,2014
EURECOM at TRECVID 2014: The semantic indexing task,"U Niaz, B Merialdo, C Tanase","TRECVID 2014, 18th International Workshop on Video Retrieval Evaluation, 11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1343474530307303776,4,2014
EURECOM at TrecVid 2015: Semantic Indexing and Video Hyperlinking Tasks,"U Niaz, B Merialdo, C Tanase, M Eskevich, B Huet",Proc. of TRECVID,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9025220753086791462,3,2015
Exploring intra-bow statistics for improving visual categorization,"U Niaz, B Merialdo",2013 14th International Workshop on Image Analysis for Multimedia …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17641416905507138263,3,2013
Leveraging from group classification for video concept detection,"U Niaz, B Merialdo",2013 11th International Workshop on Content-Based Multimedia Indexing (CBMI …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4515365398674719616,3,2013
"Semantic indexing and computational aesthetics: interactions, bridgesand boundaries",M Redi,Proceedings of the 3rd ACM conference on International conference on …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7479575077670485060,3,2013
Improving video concept detection through label space partitioning,"U Niaz, B Merialdo","2014 IEEE International Conference on Multimedia and Expo (ICME), 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1796984452358209688,2,2014
Selective multi-cotraining for video concept detection,"U Niaz, B Merialdo","Proceedings of International Conference on Multimedia Retrieval, 443",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5788287162750514560,2,2014
Entropy based supervised merging for visual categorization,"UF Niaz, B Merialdo",International Conference on Advanced Concepts for Intelligent Vision Systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2814114988019233556,2,2012
SuMACC Project’s Corpus,"M Morchid, R Dufour, U Niaz, F Bouvier, C de Groc, C de Loupy, ...","International Conference on Text, Speech, and Dialogue, 29-36",,0,2014
Sumacc Project's Corpus: A Topic-based Query Extention Approach to Retrieve Multimedia Documents,"M Morchid, R Dufour, U Niaz, F Bouvier, C de Groc, C de Loupy, ...",,,0,2014
Amélioration de la détection des concepts dans les vidéos en coupant de plus grandes tranches du monde visuel,U Niaz,"Paris, ENST",,0,2014
Cutting the visual world into bigger slices for improved video concept detection,U Niaz,,,0,2014
Semantic concept detection using dense codeword motion,"C Tănase, B Mérialdo",International Conference on Advanced Concepts for Intelligent Vision Systems …,,0,2013
