Title,Authors,Platform,Cited_url,Cited_count,Year
Introduction to Information Retrieval,"CD Manning, P Raghavan, H Schütze",Cambridge: Cambridge University Press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3426915718336975688,10441897541579577298,9443661822687402486,17177806422150606645,10838032840966494733,600643643414486633,14897078519245414536,13055361310076653191,6408643015270486948,3549675750637436615,6160056971713444814,13474348912506116730,8991566756567730798,6787944506255146343,5326200176860618265,8085306183929142307,4653036206657265398,9306844278626303519,3080671385862959978,3043680233034232883",30500,2008
Introduction to information retrieval,"CD Manning, P Raghavan, H Schütze","Cambridge University Press, Cambridge",,17764,2008
Foundations of statistical natural language processing,"CD Manning, H Schütze","Cambridge, MA: MIT Press",,13634,1999
Foundations of Statistical Natural Language Processing,"C Manning, H Schütze",The MIT Press,,12939,1999
Glove: Global vectors for word representation,"J Pennington, R Socher, C Manning",Proceedings of the 2014 conference on empirical methods in natural language …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15824805022753088965,17262270804033214976",11087,2014
The Stanford CoreNLP Natural Language Processing Toolkit,"CD Manning, M Surdeanu, J Bauer, J Finkel, SJ Bethard, D McClosky",ACL Demonstrations,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18438307512677181244,16529019619699154659",4258,2014
Recursive deep models for semantic compositionality over a sentiment treebank,"R Socher, A Perelygin, J Wu, J Chuang, CD Manning, A Ng, C Potts",Proceedings of the 2013 conference on empirical methods in natural language …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15964830791795922151,3364,2013
Accurate unlexicalized parsing,"D Klein, CD Manning",Proceedings of the 41st Annual Meeting of the Association for Computational …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14167861090677322936,14623618782667106588",3349,2003
Feature-rich part-of-speech tagging with a cyclic dependency network,"K Toutanova, D Klein, CD Manning, Y Singer",Proceedings of the 2003 Conference of the North American Chapter of the …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15400239283834381573,3273,2003
Incorporating non-local information into information extraction systems by gibbs sampling,"JR Finkel, T Grenager, C Manning",Proceedings of the 43rd annual meeting on association for computational …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16577320175387175630,18307280460807631592",2988,2005
Effective approaches to attention-based neural machine translation,"MT Luong, H Pham, CD Manning","Empirical Methods in Natural Language Processing, 1412-1421",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12347446836257434866,2881,2015
Generating typed dependency parses from phrase structure parses,"MC De Marneffe, B MacCartney, CD Manning",Proceedings of the 5th International Conference on Language Resources and …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16430905715771734382,9980888059594358955,11418269725885833096",2530,2006
Improved semantic representations from tree-structured long short-term memory networks,"KS Tai, R Socher, CD Manning",Proceedings of the 53rd Annual Meeting of the Association for Computational …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9111909349437359339,1514,2015
A fast and accurate dependency parser using neural networks,"D Chen, C Manning",Proceedings of the 2014 conference on empirical methods in natural language …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17690265189765140803,1288,2014
Labeled LDA: A supervised topic model for credit attribution in multi-labeled corpora,"D Ramage, D Hall, R Nallapati, CD Manning",Proceedings of the 2009 Conference on Empirical Methods in Natural Language …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7810445113832013291,14146406428328042633,5136407050048606198",1274,2009
Enriching the knowledge sources used in a maximum entropy part-of-speech tagger,"K Toutanova, CD Manning",Proceedings of the 2000 Joint SIGDAT conference on Empirical methods in …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13291210290979435071,1363995421377270375",1218,2000
Semi-Supervised Recursive Autoencoders for Predicting Sentiment Distributions,"R Socher, J Pennington, EH Huang, AY Ng, CD Manning",Proceedings of the 2011 Conference on Empirical Methods in Natural Language …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10422906502686954490,1157,2011
Parsing natural scenes and natural language with recursive neural networks,"R Socher, CCY Lin, AY Ng, CD Manning",International Conference in Machine Learning,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7137780966680154152,1142,2011
Semantic compositionality through recursive matrix-vector spaces,"R Socher, B Huval, CD Manning, AY Ng",Proceedings of the 2012 joint conference on empirical methods in natural …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8739223591501938228,1066,2012
