Title,Authors,Platform,Cited_url,Cited_count,Year
Testing statistical hypotheses,"EL Lehmann, JP Romano",Springer Science & Business Media,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4094467571724932550,12112,2006
The stationary bootstrap,"DN Politis, JP Romano","Journal of the American Statistical association 89 (428), 1303-1313",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16915549396244352655,2216,1994
Subsampling,"DN Politis, JP Romano, M Wolf",Springer Science & Business Media,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8733702287738019640,1361,1999
Large sample confidence regions based on subsamples under minimal assumptions,"DN Politis, JP Romano","The Annals of Statistics, 2031-2050",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8630062369123898503,719,1994
Stepwise multiple testing as formalized data snooping,"JP Romano, M Wolf","Econometrica 73 (4), 1237-1282",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17433113668824885273,557,2005
Empirical likelihood is Bartlett-correctable,"T DiCiccio, P Hall, J Romano","the Annals of Statistics 19 (2), 1053-1061",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14403192509473153460,401,1991
A circular block-resampling procedure for stationary data,"DN Politis, JP Romano",Exploring the limits of bootstrap 2635270,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8289351657226460192,398,1992
Generalizations of the familywise error rate,"EL Lehmann, JP Romano","Selected Works of EL Lehmann, 719-735",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2019061775770152775,381,2012
A review of bootstrap confidence intervals,"TJ Diciccio, JP Romano",Journal of the Royal Statistical Society: Series B (Methodological) 50 (3 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1471343091659394965,364,1988
Exact and approximate stepdown methods for multiple hypothesis testing,"JP Romano, M Wolf","Journal of the American Statistical Association 100 (469), 94-108","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15571637685072073337,4474647965925475550",291,2005
A general resampling scheme for triangular arrays of α-mixing random variables with application to the problem of spectral density estimation,"DN Politis, JP Romano","The Annals of Statistics, 1985-2007",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3265531495950907380,232,1992
Counterexamples in probability and statistics,"JP Romano, AF Siegel",CRC Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10018406111796653269,232,1986
Inference for identifiable parameters in partially identified econometric models,"JP Romano, AM Shaikh","Journal of Statistical Planning and Inference 138 (9), 2786-2807",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5479572522262016219,228,2008
Bootstrap and randomization tests of some nonparametric hypotheses,JP Romano,"The Annals of Statistics, 141-159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12285519445065716706,213,1989
Inference for the identified set in partially identified econometric models,"JP Romano, AM Shaikh","Econometrica 78 (1), 169-211",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16811435348886170136,192,2010
Inference for autocorrelations under weak assumptions,"JP Romano, LA Thombs","Journal of the American Statistical Association 91 (434), 590-600",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3216586783746277627,190,1996
On the behavior of randomization tests without a group invariance assumption,JP Romano,"Journal of the American Statistical Association 85 (411), 686-692",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6219734523267767600,179,1990
On smoothing and the bootstrap,"P Hall, TJ DiCiccio, JP Romano","The Annals of Statistics 17 (2), 692-704",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8953721671777525257,170,1989
Bias‐corrected nonparametric spectral estimation,"DN Politis, JP Romano","Journal of time series analysis 16 (1), 67-103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8532557167626749843,162,1995
