Title,Authors,Platform,Cited_url,Cited_count,Year
Executive summary: heart disease and stroke statistics—2013 update: a report from the American Heart Association,"AS Go, D Mozaffarian, VL Roger, EJ Benjamin, JD Berry, WB Borden, ...","Circulation 127 (1), 143-152","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1257410697105084433,10257194513212918033,8973070304884454513,6162116165863662963,16392950377503347690,860026629405589317,6574310341435232532,12519183566482296281,12076023622322697854",14842,2013
Executive summary: heart disease and stroke statistics—2015 update: a report from the American Heart Association,"D Mozaffarian, EJ Benjamin, AS Go, DK Arnett, MJ Blaha, M Cushman, ...","Circulation 131 (4), 434-441","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13697592986102470826,410886075885659304,12960707862178439566,14252372775208904155,16340881590052849236,9434879607038768489,7437479427795625073,15911376512077358406,7421899907338075260,5615053194938308384,16365054707769554284",12635,2015
Guidelines for prevention of stroke in patients with ischemic stroke or transient ischemic attack: a statement for healthcare professionals from the American Heart Association …,"RL Sacco, R Adams, G Albers, MJ Alberts, O Benavente, K Furie, ...","Stroke 37 (2), 577-617",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16154905345307847494,2884,2006
Stent-retriever thrombectomy after intravenous t-PA vs. t-PA alone in stroke,"JL Saver, M Goyal, A Bonafe, HC Diener, EI Levy, VM Pereira, GW Albers, ...","New England Journal of Medicine 372 (24), 2285-2295",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12284847996536059211,2882,2015
"Association of outcome with early stroke treatment: pooled analysis of ATLANTIS, ECASS, and NINDS rt-PA stroke trials",T ATLANTIS,"The Lancet 363 (9411), 768-774","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11862016692692086336,2423000080926106118",2826,2004
Guidelines for the prevention of stroke in patients with stroke or transient ischemic attack: a guideline for healthcare professionals from the American Heart Association …,"KL Furie, SE Kasner, RJ Adams, GW Albers, RL Bush, SC Fagan, ...","Stroke 42 (1), 227-276",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18192440264752155714,2090,2011
"Time to treatment with intravenous alteplase and outcome in stroke: an updated pooled analysis of ECASS, ATLANTIS, NINDS, and EPITHET trials","KR Lees, E Bluhmki, R Von Kummer, TG Brott, D Toni, JC Grotta, ...","The Lancet 375 (9727), 1695-1703",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5403808235748864857,1963,2010
Definition and evaluation of transient ischemic attack: a scientific statement for healthcare professionals from the American Heart Association/American Stroke Association …,"JD Easton, JL Saver, GW Albers, MJ Alberts, S Chaturvedi, E Feldmann, ...","Stroke 40 (6), 2276-2293",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15492106250479666812,1654,2009
Recombinant tissue-type plasminogen activator (alteplase) for ischemic stroke 3 to 5 hours after symptom onset: the ATLANTIS study: a randomized controlled trial,"WM Clark, S Wissman, GW Albers, JH Jhamandas, KP Madden, ...","Jama 282 (21), 2019-2026",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8509095562051811405,1439,1999
A comparison of warfarin and aspirin for the prevention of recurrent ischemic stroke,"JP Mohr, JLP Thompson, RM Lazar, B Levin, RL Sacco, KL Furie, ...","New England Journal of Medicine 345 (20), 1444-1451",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11117019131125971739,1310,2001
Transient ischemic attack—proposal for a new definition,"GW Albers, LR Caplan, JD Easton, PB Fayad, JP Mohr, JL Saver, ...","New England Journal of Medicine 347 (21), 1713-1716",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2422152404185692418,1285,2002
The Desmoteplase in Acute Ischemic Stroke Trial (DIAS) a phase II MRI-based 9-hour window acute stroke thrombolysis trial with intravenous desmoteplase,"W Hacke, G Albers, Y Al-Rawi, J Bogousslavsky, A Davalos, M Eliasziw, ...","Stroke 36 (1), 66-73",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8065790992230904233,1284,2005
Magnetic resonance imaging profiles predict clinical response to early reperfusion: the diffusion and perfusion imaging evaluation for understanding stroke evolution (DEFUSE) study,"GW Albers, VN Thijs, L Wechsler, S Kemp, G Schlaug, E Skalabrin, ...",Annals of Neurology: Official Journal of the American Neurological …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16116295965753317705,1206,2006
"Effect of treatment delay, age, and stroke severity on the effects of intravenous thrombolysis with alteplase for acute ischaemic stroke: a meta-analysis of individual patient …","J Emberson, KR Lees, P Lyden, L Blackwell, G Albers, E Bluhmki, T Brott, ...","The Lancet 384 (9958), 1929-1935",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4442458379305743414,1178,2014
Trevo versus Merci retrievers for thrombectomy revascularisation of large vessel occlusions in acute ischaemic stroke (TREVO 2): a randomised trial,"RG Nogueira, HL Lutsep, R Gupta, TG Jovin, GW Albers, GA Walker, ...","The Lancet 380 (9849), 1231-1240",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14221628996048037125,1086,2012
Thrombectomy for stroke at 6 to 16 hours with selection by perfusion imaging,"GW Albers, MP Marks, S Kemp, S Christensen, JP Tsai, ...","New England Journal of Medicine 378 (8), 708-718",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13290267156645387817,1019,2018
Aspirin and extended-release dipyridamole versus clopidogrel for recurrent stroke,"RL Sacco, HC Diener, S Yusuf, D Cotton, S Ôunpuu, WA Lawton, ...","New England Journal of Medicine 359 (12), 1238-1251",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17021819926632747002,1015,2008
Antithrombotic therapy in atrial fibrillation: American College of Chest Physicians evidence-based clinical practice guidelines,"DE Singer, GW Albers, JE Dalen, MC Fang, AS Go, JL Halperin, GYH Lip, ...","Chest 133 (6), 546S-592S",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15458084076715961749,986,2008
Intravenous tissue-type plasminogen activator for treatment of acute stroke: the Standard Treatment with Alteplase to Reverse Stroke (STARS) study,"GW Albers, VE Bates, WM Clark, R Bell, P Verro, SA Hamilton","Jama 283 (9), 1145-1150",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11886873970955056396,866,2000
Closure or medical therapy for cryptogenic stroke with patent foramen ovale,"AJ Furlan, M Reisman, J Massaro, L Mauri, H Adams, GW Albers, ...","New England Journal of Medicine 366 (11), 991-999",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18291782881984714739,855,2012
Telmisartan to prevent recurrent stroke and cardiovascular events,"S Yusuf, HC Diener, RL Sacco, D Cotton, S Ôunpuu, WA Lawton, ...","New England Journal of Medicine 359 (12), 1225-1237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15488953165721435598,839,2008
Antithrombotic therapy in atrial fibrillation: the Seventh ACCP Conference on Antithrombotic and Thrombolytic Therapy,"DE Singer, GW Albers, JE Dalen, AS Go, JL Halperin, WJ Manning","Chest 126 (3), 429S-456S","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8838452683207685372,2483427704142862531",839,2004
Antithrombotic therapy in atrial fibrillation,"A Laupacis, G Albers, J Dalen, MI Dunn, AK Jacobson, DE Singer","Chest 114 (5), 579S-589S","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9184332872558903587,11470177924514015994",740,1998
Update to the AHA/ASA recommendations for the prevention of stroke in patients with stroke and transient ischemic attack,"RJ Adams, G Albers, MJ Alberts, O Benavente, K Furie, LB Goldstein, ...","Stroke 39 (5), 1647-1652",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9514106404910966401,730,2008
Antithrombotic and thrombolytic therapy for ischemic stroke: the Seventh ACCP Conference on Antithrombotic and Thrombolytic Therapy,"GW Albers, P Amarenco, JD Easton, RL Sacco, P Teal","Chest 126 (3), 483S-512S",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10181579317613511655,720,2004
Dose Escalation of Desmoteplase for Acute Ischemic Stroke (DEDAS) evidence of safety and efficacy 3 to 9 hours after stroke onset,"AJ Furlan, D Eyding, GW Albers, Y Al-Rawi, KR Lees, HA Rowley, ...","Stroke 37 (5), 1227-1231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7595656373482691770,708,2006
Antithrombotic therapy in atrial fibrillation,"GW Albers, JE Dalen, A Laupacis, WJ Manning, P Petersen, DE Singer","Chest 119 (1), 194S-206S",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16464697127401378197,708,2001
Ximelagatran vs warfarin for stroke prevention in patients with nonvalvular atrial fibrillation: a randomized trial.,"GW Albers, HC Diener, L Frison, M Grind, M Nevinson, S Partridge, ...","Jama 293 (6), 690-698",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13284263516642140348,661,2005
Comparison of outcomes among patients randomized to warfarin therapy according to anticoagulant control: results from SPORTIF III and V,"HD White, M Gruber, J Feyzi, S Kaatz, HF Tse, S Husted, GW Albers","Archives of internal medicine 167 (3), 239-245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5291971959087580692,641,2007
MRI profile and response to endovascular reperfusion after stroke (DEFUSE 2): a prospective cohort study,"MG Lansberg, M Straka, S Kemp, M Mlynash, LR Wechsler, TG Jovin, ...","The Lancet Neurology 11 (10), 860-867",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12997077003112630616,622,2012
Clinical utility of diffusion‐weighted magnetic resonance imaging in the assessment of ischemic stroke,"HL Lutsep, GW Albers, A DeCrespigny, GN Kamat, MP Marks, ...",Annals of Neurology: Official Journal of the American Neurological …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6760418203472097559,572,1997
Recommendations on angiographic revascularization grading standards for acute ischemic stroke: a consensus statement,"OO Zaidat, AJ Yoo, P Khatri, TA Tomsick, R Von Kummer, JL Saver, ...","Stroke 44 (9), 2650-2663",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18007713536398181098,524,2013
"The rtPA (Alteplase) 0-to 6-hour acute stroke trial, part A (A0276g) Results of a double-blind, placebo-controlled, multicenter study","WM Clark, GW Albers, KP Madden, S Hamilton","Stroke 31 (4), 811-816",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6459816036386800321,480,2000
Correlation of perfusion-and diffusion-weighted MRI with NIHSS score in acute (< 6.5 hour) ischemic stroke,"DC Tong, MA Yenari, GW Albers, M O'brien, MP Marks, ME Moseley","Neurology 50 (4), 864-869",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3276397549968371133,479,1998
Longitudinal magnetic resonance imaging study of perfusion and diffusion in stroke: evolution of lesion volume and correlation with clinical outcome,"C Beaulieu, A De Crespigny, DC Tong, ME Moseley, GW Albers, ...",Annals of Neurology: Official Journal of the American Neurological …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=24368116215505572,441,1999
Executive summary: American College of Chest Physicians evidence-based clinical practice guidelines,"J Hirsh, G Guyatt, GW Albers, R Harrington, HJ Schünemann","Chest 133 (6), 71S-109S",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3342416733877629568,440,2008
Antithrombotic and thrombolytic therapy for ischemic stroke: American College of Chest Physicians evidence-based clinical practice guidelines,"GW Albers, P Amarenco, JD Easton, RL Sacco, P Teal","Chest 133 (6), 630S-669S",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16322897653108757021,422,2008
"American Heart Association Stroke Council, Council on Cardiovascular Nursing, Council on Clinical Cardiology, and Interdisciplinary Council on Quality of Care and Outcomes …","KL Furie, SE Kasner, RJ Adams, GW Albers, RL Bush, SC Fagan, ...","Stroke 42 (1), 227-276",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2542824996788009949,397,2011
Acute and chronic stroke: navigated spin-echo diffusion-weighted MR imaging.,"MP Marks, A de Crespigny, D Lentz, DR Enzmann, GW Albers, ...","Radiology 199 (2), 403-408",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17644132958878896376,391,1996
Selfotel in acute ischemic stroke: possible neurotoxic effects of an NMDA antagonist,"SM Davis, KR Lees, GW Albers, HC Diener, S Markabi, G Karlsson, ...","Stroke 31 (2), 347-354",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13323804261194087573,390,2000
Antithrombotic and thrombolytic therapy: American College of Chest Physicians evidence-based clinical practice guidelines,"J Hirsh, G Guyatt, GW Albers, R Harrington, HJ Schünemann","Chest 133 (6), 110S-112S","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13835037074817543800,17007090306428224200,3984932395604400718",389,2008
MRI abnormalities associated with partial status epilepticus,"MG Lansberg, MW O’Brien, AM Norbash, ME Moseley, M Morrell, ...","Neurology 52 (5), 1021-1021",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3223127542309629527,388,1999
Symptomatic intracranial atherosclerosis: outcome of patients who fail antithrombotic therapy,"VN Thijs, GW Albers","Neurology 55 (4), 490-498",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9519732809065727728,384,2000
