Title,Authors,Platform,Cited_url,Cited_count,Year
Repetition and the brain: neural models of stimulus-specific effects,"K Grill-Spector, R Henson, A Martin","Trends in cognitive sciences 10 (1), 14-23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6349141009758115730,2073,2006
Differential processing of objects under various viewing conditions in the human lateral occipital complex,"K Grill-Spector, T Kushnir, S Edelman, G Avidan, Y Itzchak, R Malach","Neuron 24 (1), 187-203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=485788850656916920,1195,1999
The lateral occipital complex and its role in object recognition,"K Grill-Spector, Z Kourtzi, N Kanwisher","Vision research 41 (10-11), 1409-1422",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18349403673592289267,1170,2001
fMR-adaptation: a tool for studying the functional properties of human cortical neurons,"K Grill-Spector, R Malach","Acta psychologica 107 (1-3), 293-321",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13613004785724965202,1050,2001
"The fusiform face area subserves face perception, not generic within-category identification","K Grill-Spector, N Knouf, N Kanwisher","Nature neuroscience 7 (5), 555",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12930431879466072544,996,2004
The human visual cortex,"K Grill-Spector, R Malach","Annu. Rev. Neurosci. 27, 649-677",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5633072855846599733,975,2004
The neural basis of object perception,K Grill-Spector,"Current opinion in neurobiology 13 (2), 159-166",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1007524950907594775,587,2003
The dynamics of object-selective activation correlate with recognition performance in humans,"K Grill-Spector, T Kushnir, T Hendler, R Malach","Nature neuroscience 3 (8), 837",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4010597615125640657,576,2000
"Visual recognition: As soon as you know it is there, you know what it is","K Grill-Spector, N Kanwisher","Psychological Science 16 (2), 152-160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13965351247269865721,566,2005
A sequence of object‐processing stages revealed by fMRI in the human occipital lobe,"K Grill‐Spector, T Kushnir, T Hendler, S Edelman, Y Itzchak, R Malach","Human brain mapping 6 (4), 316-328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9955736302602303302,533,1998
