Title,Authors,Platform,Cited_url,Cited_count,Year
Review of particle physics,"S Eidelman, KG Hayes, KA Olive, M Aguilar-Benitez, C Amsler, D Asner, ...","Physics letters B 592 (1-4), 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9450086800060785278,7534,2004
"A framework for K-12 science education: Practices, crosscutting concepts, and core ideas",National Research Council,National Academies Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1126558227830726216,7344,2012
Review of Particle Physics: Particle data group,"K Hagiwara, K Hikasa, K Nakamura, M Tanabashi, M Aguilar-Benitez, ...","Physical Review D-Particles, Fields, Gravitation and Cosmology 66 (1 I …","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1159090694018376713,11775598124002611914,8993240685681554492",6188,2002
CP Conservation in the Presence of Instantons,"RD Peccei, HR Quinn","Phys. Rev. Lett. 38 (ITP-568-STANFORD), 1440-1443",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=585452291218986044,5500,1977
Review of particle physics,"DE Groom, M Aguilar-Benitez, C Amsler, RM Barnett, PR Burchat, ...","European Physical Journal C 15 (1-4), 1-878",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10437579626125375325,4886,2000
Review of particle physics,G Cowan,"Phys. Rev. D 86 (010001), 390",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5623498425031258953,3874,2012
Constraints imposed by ,"RD Peccei, HR Quinn","Physical Review D 16 (6), 1791",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16499793678829768442,3086,1977
Hierarchy of interactions in unified gauge theories,"H Georgi, HR Quinn, S Weinberg","Origin Of Symmetries, 334-337",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11431003033118231332,2167,1991
Observation of CP violation in the B 0 meson system,"B Aubert, D Boutigny, JM Gaillard, A Hicheur, Y Karyotakis, JP Lees, ...","Physical Review Letters 87 (9), 091801",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10461864527557726711,1240,2001
CP conservation in the presence of pseudoparticles,"RD Peccei, HR Quinn","Physical Review Letters 38 (25), 1440",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2661645968582717795,698,1977
Measurement of the C P Asymmetry Amplitude sin﻿ 2 β with B 0 Mesons,"B Aubert, D Boutigny, JM Gaillard, A Hicheur, Y Karyotakis, JP Lees, ...","Physical Review Letters 89 (20), 201802","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16897526512460371864,2643842629099580072",679,2002
Smearing method in the quark model,"EC Poggio, HR Quinn, S Weinberg","Physical Review D 13 (7), 1958",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16852339440135243702,622,1976
Gauge theories of weak interactions,JC Taylor,"Gauge Theories of Weak Interactions, by JC Taylor, Cambridge, UK: Cambridge …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2997045272576122153,534,1979
Study of time-dependent CP-violating asymmetries and flavor oscillations in neutral B decays at the Υ (4 S),"B Aubert, D Boutigny, JM Gaillard, A Hicheur, Y Karyotakis, JP Lees, ...","Physical Review D 66 (3), 032003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10382240331564995584,466,2002
Measuring CP asymmetry in B→ ρ π decays without ambiguities,"AE Snyder, HR Quinn","Physical Review D 48 (5), 2139",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2800205557443227466,441,1993
