Title,Authors,Platform,Cited_url,Cited_count,Year
Activation tagging in Arabidopsis,"D Weigel, JH Ahn, MA Blázquez, JO Borevitz, SK Christensen, ...","Plant Physiology 122 (4), 1003-1014",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14641249283905079508,1111,2000
Constitutive expression of the CIRCADIAN CLOCK ASSOCIATED 1 (CCA1) gene disrupts circadian rhythms and suppresses its own expression,"ZY Wang, EM Tobin","Cell 93 (7), 1207-1217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5135734816627664241,973,1998
BES1 accumulates in the nucleus in response to brassinosteroids to regulate gene expression and promote stem elongation,"Y Yin, ZY Wang, S Mora-Garcia, J Li, S Yoshida, T Asami, J Chory","Cell 109 (2), 181-191",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2184042678925475828,811,2002
BRI1 is a critical component of a plasma-membrane receptor for plant steroids,"ZY Wang, H Seto, S Fujioka, S Yoshida, J Chory","Nature 410 (6826), 380-383",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3508769389796014621,750,2001
Nuclear-localized BZR1 mediates brassinosteroid-induced growth and feedback suppression of brassinosteroid biosynthesis,"ZY Wang, T Nakano, J Gendron, J He, M Chen, D Vafeados, Y Yang, ...","Developmental cell 2 (4), 505-513",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9891937129877197578,697,2002
BZR1 is a transcriptional repressor with dual roles in brassinosteroid homeostasis and growth responses,"JX He, JM Gendron, Y Sun, SSL Gampala, N Gendron, CQ Sun, ZY Wang","Science 307 (5715), 1634-1638",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9992049361463950860,569,2005
Integration of brassinosteroid signal transduction with the transcription network for plant growth regulation in Arabidopsis,"Y Sun, XY Fan, DM Cao, W Tang, K He, JY Zhu, JX He, MY Bai, S Zhu, ...","Developmental cell 19 (5), 765-777",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1944556906498567572,497,2010
"Transcriptome profiling, molecular biological, and physiological studies reveal a major role for ethylene in cotton fiber cell elongation","YH Shi, SW Zhu, XZ Mao, JX Feng, YM Qin, L Zhang, J Cheng, LP Wei, ...","The Plant Cell 18 (3), 651-664",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7565127897257430649,493,2006
Brassinosteroid signal transduction from receptor kinases to transcription factors,"TW Kim, ZY Wang","Annual review of plant biology 61, 681-704",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13371336284542568669,478,2010
A Myb-related transcription factor is involved in the phytochrome regulation of an Arabidopsis Lhcb gene.,"ZY Wang, D Kenigsbuch, L Sun, E Harel, MS Ong, EM Tobin","The plant cell 9 (4), 491-507",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10412650707820544845,467,1997
Perception of brassinosteroids by the extracellular domain of the receptor kinase BRI1,"Z He, ZY Wang, J Li, Q Zhu, C Lamb, P Ronald, J Chory","Science 288 (5475), 2360-2363",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2968345437022025516,464,2000
"The GSK3-like kinase BIN2 phosphorylates and destabilizes BZR1, a positive regulator of the brassinosteroid signaling pathway in Arabidopsis","JX He, JM Gendron, Y Yang, J Li, ZY Wang","Proceedings of the National Academy of Sciences 99 (15), 10185-10190",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6177729345120508214,453,2002
BSKs mediate signal transduction from the receptor kinase BRI1 in Arabidopsis,"W Tang, TW Kim, JA Oses-Prieto, Y Sun, Z Deng, S Zhu, R Wang, ...","Science 321 (5888), 557-560",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8614200644453006664,450,2008
