Title,Authors,Platform,Cited_url,Cited_count,Year
Helicobacter pylori infection and the risk of gastric carcinoma,"J Parsonnet, GD Friedman, DP Vandersteen, Y Chang, JH Vogelman, ...","New England Journal of Medicine 325 (16), 1127-1131","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14541853321383572724,10247817218991435265,12140833234150280517",6161,1991
The Epidemiology of Tuberculosis in San Francisco--A Population-Based Study Using Conventional and Molecular Methods,"PM Small, PC Hopewell, SP Singh, A Paz, J Parsonnet, DC Ruston, ...","New England Journal of Medicine 330 (24), 1703-1709",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6988135937530837150,1449,1994
 Virulence and Genetic Geography,"A Covacci, JL Telford, G Del Giudice, J Parsonnet, R Rappuoli","Science 284 (5418), 1328-1333",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1494063465041721157,1289,1999
Risk for gastric cancer in people with CagA positive or CagA negative Helicobacter pylori infection.,"J Parsonnet, GD Friedman, N Orentreich, H Vogelman","Gut 40 (3), 297-301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12714959062360041933,1096,1997
Gastric cancer and Helicobacter pylori: a combined analysis of 12 case control studies nested within prospective cohorts,Helicobacter and Cancer Collaborative Group,"Gut 49 (3), 347-353",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12258137382439338161,909,2001
The incidence of Helicobacter pylori infection.,J Parsonnet,"Alimentary pharmacology & therapeutics 9, 45-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3553303846381671910,523,1995
Parasitism by the,"MJ Blaser, J Parsonnet","The Journal of clinical investigation 94 (1), 4-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14548759778221113738,455,1994
Fecal and oral shedding of Helicobacter pylori from healthy infected adults,"J Parsonnet, H Shmuely, T Haggerty","Jama 282 (23), 2240-2245",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12080543308428220945,453,1999
Helicobacter pylori in peptic ulcer disease,"T Yamada, JG Searle, D Ahnen, DH Aipers, HB Greenberg, M Gray, ...","Jama 272 (1), 65-69",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6743361496050884809,416,1994
 Infection in Intestinal- and Diffuse-Type Gastric Adenocarcinomas,"J Parsonnet, D Vandersteen, J Goates, RK Sibley, J Pritikin, Y Chang","JNCI: Journal of the National Cancer Institute 83 (9), 640-643",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8137797421597426712,415,1991
Symptoms and risk factors of Helicobacter pylori infection in a cohort of epidemiologists,"J Parsonnet, MJ Blaser, GI Perez-Perez, N Hargrett-Bean, RV Tauxe","Gastroenterology 102 (1), 41-46",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9937721308320468290,395,1992
Helicobacter pylori and gastric cancer.,RPH Logan,"The Lancet 344 (8929), 1078-1079","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3554010036652772359,6557094328207106943",378,1994
Modelling cost-effectiveness of Helicobacter pylori screening to prevent gastric cancer: a mandate for clinical trials,"J Parsonnet, RA Harris, HM Hack, DK Owens","The Lancet 348 (9021), 150-154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15569003620407175408,362,1996
Helicobacter pylori and gastric cancer.,J Parsonnet,"Gastroenterology Clinics of North America 22 (1), 89-104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13840695911153509829,287,1993
"Antimicrobial resistance incidence and risk factors among Helicobacter pylori–infected persons, United States","WM Duck, J Sobel, JM Pruckler, Q Song, D Swerdlow, C Friedman, ...","Emerging infectious diseases 10 (6), 1088",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5426138142507877299,283,2004
Gastrin and colorectal cancer: a prospective study,"CM Thorburn, GD Friedman, CJ Dickinson, JH Vogelman, N Orentreich, ...","Gastroenterology 115 (2), 275-280",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9337710690189211974,281,1998
Helicobacter pylori and gastric adenocarcinoma,"V Herrera, J Parsonnet","Clinical Microbiology and Infection 15 (11), 971-976",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9707179917346909517,229,2009
Biologic sex as a risk factor for Helicobacter pylori infection in healthy young adults,"ML Replogle, SL Glaser, RA Hiatt, J Parsonnet","American journal of epidemiology 142 (8), 856-863",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8909127861502897094,227,1995
 and Gastric Cancer,D Forman,"Scandinavian Journal of Gastroenterology 31 (sup215), 48-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3817636994230339679,222,1996
Infections causing human cancer,H Zur Hausen,John Wiley & Sons,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5888315430607086427,214,2007
Bacterial infection as a cause of cancer.,J Parsonnet,"Environmental health perspectives 103 (suppl 8), 263-268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7704264744308624547,207,1995
Vitamin D deficiency and tuberculosis progression,"N Talat, S Perry, J Parsonnet, G Dawood, R Hussain","Emerging infectious diseases 16 (5), 853",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16817445497787196735,200,2010
Establishing reference values for central blood pressure and its amplification in a general healthy population and according to cardiovascular risk factors,"A Herbert, JK Cruickshank, S Laurent, P Boutouyrie","European heart journal 35 (44), 3122-3133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12938877208207244836,179,2014
Helicobacter pylori: the size of the problem,J Parsonnet,"Gut 43 (Suppl 1), S6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15561132459542640619,173,1998
Identification of cardioviruses related to Theiler's murine encephalomyelitis virus in human infections,"CY Chiu, AL Greninger, K Kanada, T Kwok, KF Fischer, C Runckel, ...","Proceedings of the National Academy of Sciences 105 (37), 14124-14129",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10371059645594626213,167,2008
Helicobacter pylori infection and gender: a meta-analysis of population-based prevalence surveys,"C De Martel, J Parsonnet","Digestive diseases and sciences 51 (12), 2292-2301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8466863150352113462,164,2006
Bacterial infection and MALT lymphoma.,"J Parsonnet, PG Isaacson","The New England journal of medicine 350, 213-215",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6942811325121914114,161,2004
The complete genome of klassevirus–a novel picornavirus in pediatric stool,"AL Greninger, C Runckel, CY Chiu, T Haggerty, J Parsonnet, D Ganem, ...","Virology journal 6 (1), 82",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16862744159136647264,154,2009
"Helicobacter pylori eradication and gastric preneoplastic conditions: a randomized, double-blind, placebo-controlled trial","C Ley, A Mohar, J Guarner, R Herrera-Goepfert, LS Figueroa, D Halperin, ...","Cancer Epidemiology and Prevention Biomarkers 13 (1), 4-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3704439322860092654,154,2004
Clinical application and limitations of interferon-γ release assays for the diagnosis of latent tuberculosis infection,"V Herrera, S Perry, J Parsonnet, N Banaei","Clinical infectious diseases 52 (8), 1031-1037",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7622873552726032055,149,2011
 Infection and the Risk of Development of Esophageal Adenocarcinoma,"C de Martel, AE Llosa, SM Farr, GD Friedman, JH Vogelman, ...","The Journal of infectious diseases 191 (5), 761-767",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2462637267677835291,136,2005
"The association of Helicobacter pylori with gastric cancer and preneoplastic gastric lesions in Chiapas, Mexico","J Guarner, A Mohar, J Parsonnet, D Halperin","Cancer 71 (2), 297-301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5971267648806708243,136,1993
Gastroenteritis and transmission of Helicobacter pylori infection in households,"S Perry, M De La Luz Sanchez, S Yang, TD Haggerty, P Hurst, ...","Emerging infectious diseases 12 (11), 1701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4787366299357793902,130,2006
Discovery of a novel polyomavirus in acute diarrheal samples from children,"G Yu, AL Greninger, P Isa, TG Phan, MA Martínez, M de la Luz Sanchez, ...","PloS one 7 (11), e49449",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9043573637560639495,124,2012
Prevalence and incidence of herpes simplex virus type 2 infection among male Zimbabwean factory workers,"W McFarland, L Gwanzura, MT Bassett, R Machekano, AS Latif, C Ley, ...","The Journal of infectious diseases 180 (5), 1459-1465",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4882459376238594519,124,1999
 in the Stomach — A Paradox Unmasked,J Parsonnet,"New England Journal of Medicine 335 (4), 278-280",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18157838733518909092,116,1996
Infection with Helicobacter pylori is associated with protection against tuberculosis,"S Perry, BC De Jong, JV Solnick, M de la Luz Sanchez, S Yang, PL Lin, ...","PloS one 5 (1), e8804",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3829534061338407004,115,2010
Role of bacteria in oncogenesis,"AH Chang, J Parsonnet","Clinical microbiology reviews 23 (4), 837-857",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6419765191450494856,113,2010
Confirmatory serologic testing for acute toxoplasmosis and rate of induced abortions among women reported to have positive Toxoplasma immunoglobulin M antibody titers,"O Liesenfeld, JG Montoya, NJ Tathineni, M Davis, BW Brown Jr, KL Cobb, ...","American journal of obstetrics and gynecology 184 (2), 140-145",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11573840498661780050,113,2001
Helicobacter pylori infection and the risk of Barrett’s oesophagus: a community-based study,"DA Corley, A Kubo, TR Levin, G Block, L Habel, W Zhao, P Leighton, ...","Gut 57 (6), 727-733",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13748525495627357830,112,2008
Association of Helicobacter pylori infection with dyspeptic symptoms in patients undergoing gastroduodenoscopy,"RM Strauss, TC Wang, PB Kelsey, CC Compton, MJ Ferraro, ...","The American journal of medicine 89 (4), 464-469",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11419138064242390030,105,1990
Reproducibility of QuantiFERON-TB gold in-tube assay,"S Perry, L Sanchez, S Yang, Z Agarwal, P Hurst, J Parsonnet","Clin. Vaccine Immunol. 15 (3), 425-432",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11428134278077286236,104,2008
Epidemiology and natural history of Helicobacter pylori infection,DN Taylor,Infections of the gastrointestinal track,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1662071258592386267,104,1994
Engaging students in dedicated research and scholarship during medical school: the long-term experiences at Duke and Stanford,"DT Laskowitz, RP Drucker, J Parsonnet, PC Cross, N Gesundheit","Academic Medicine 85 (3), 419-428",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5570947975101610402,99,2010
Microbes and malignancy: infection as a cause of human cancers,J Parsonnet,"Oxford University Press, USA","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17233316725641081960,11110376952202799451",99,1999
"Screening markers for chronic atrophic gastritis in Chiapas, Mexico","C Ley, A Mohar, J Guarner, R Herrera-Goepfert, LS Figueroa, D Halperin, ...","Cancer Epidemiology and Prevention Biomarkers 10 (2), 107-112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13420221822820039640,98,2001
Maternal prepregnancy body mass index and risk of spontaneous preterm birth,"GM Shaw, PH Wise, J Mayo, SL Carmichael, C Ley, DJ Lyell, BZ Shachar, ...","Paediatric and perinatal epidemiology 28 (4), 302-311",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12086174428027843179,94,2014
Interobserver variability in application of the revised Sydney classification for gastritis,"J Guarner, R Herrera-Goepfert, A Mohar, L Sanchez, D Halperin, C Ley, ...","Human pathology 30 (12), 1431-1434",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14176366516569575286,94,1999
Acute Helicobacter pylori infection is followed by an increase in diarrheal disease among Peruvian children,"DJ Passaro, DN Taylor, R Meza, L Cabrera, RH Gilman, J Parsonnet","Pediatrics 108 (5), e87-e87",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14125971775661477186,92,2001
Encouraging scholarship: medical school programs to promote student inquiry beyond the traditional medical curriculum,"EP Green, JM Borkan, SH Pross, SR Adler, M Nothnagle, J Parsonnet, ...","Academic Medicine 85 (3), 409-418",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4934083512644816732,90,2010
"Challenges with QuantiFERON-TB Gold assay for large-scale, routine screening of US healthcare workers","ML Slater, G Welland, M Pai, J Parsonnet, N Banaei","American journal of respiratory and critical care medicine 188 (8), 1005-1010",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15079039133321122449,86,2013
Prevention of gastric cancer,"R Herrero, J Parsonnet, ER Greenberg","Jama 312 (12), 1197-1198",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11532091068542349683,83,2014
"Use of insecticide-treated nets (ITNs) following a malaria education intervention in Piron, Mali: a control trial with systematic allocation of households","M Rhee, M Sissoko, S Perry, W McFarland, J Parsonnet, O Doumbo","Malaria Journal 4 (1), 35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16073583705457366612,82,2005
CagA status of Helicobacter pylori infection and p53 gene mutations in gastric adenocarcinoma,"A Shibata, J Parsonnet, TA Longacre, MI Garcia, B Puligandla, RE Davis, ...","Carcinogenesis 23 (3), 419-424",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13937187581249016544,81,2002
Helicobacter pylori infection and development of pancreatic cancer,"C de Martel, AE Llosa, GD Friedmana, JH Vogelman, N Orentreich, ...","Cancer Epidemiology and Prevention Biomarkers 17 (5), 1188-1194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14062540460801734506,75,2008
Stomach cancer,"A Shibata, J Parsonnet","Cancer epidemiology and prevention 3, 707-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=363272214022150406,74,2006
