Title,Authors,Platform,Cited_url,Cited_count,Year
Positive behavior support: Evolution of an applied science,"EG Carr, G Dunlap, RH Horner, RL Koegel, AP Turnbull, W Sailor, ...","Journal of positive behavior interventions 4 (1), 4-16","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12521366360595386255,13166352470802989818",1328,2002
SOME GENERALIZATION AND FOLLOW‐UP MEASURES ON AUTISTIC CHILDREN IN BEHAVIOR THERAPY,"OI Lovaas, R Koegel, JQ Simmons, JS Long","Journal of applied behavior analysis 6 (1), 131-165",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15916278769739489326,1004,1973
"Pivotal response treatments for autism: Communication, social, & academic development.","RL Koegel, LK Koegel",Paul H Brookes Publishing,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5745707725219471766,15042234441538312602",629,2006
Selective responding by autistic children to multiple sensory input.,"OI Lovaas, L Schreibman, R Koegel, R Rehm","Journal of abnormal psychology 77 (3), 211",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15930486310610716949,610,1971
Pivotal response intervention I: Overview of approach,"LK Koegel, RL Koegel, JK Harrower, CM Carter","Journal of the Association for Persons with Severe Handicaps 24 (3), 174-185",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14977995864158242427,593,1999
A natural language teaching paradigm for nonverbal autistic children,"RL Koegel, MC O'dell, LK Koegel","Journal of autism and developmental disorders 17 (2), 187-200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1616908368550237745,585,1987
Stimulus overselectivity in autism: a review of research.,"OI Lovaas, RL Koegel, L Schreibman","Psychological bulletin 86 (6), 1236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10610435426355571611,585,1979
Positive behavioral support: Including people with difficult behavior in the community.,"LKE Koegel, RL Koegel, GE Dunlap",Paul H Brookes Publishing,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9341334890115233359,490,1996
Toward a technology of “nonaversive” behavioral support,"RH Horner, G Dunlap, RL Koegel, EG Carr, W Sailor, J Anderson, ...","Journal of the Association for Persons with Severe Handicaps 15 (3), 125-132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15675918669145332674,487,1990
Teaching children with autism: Strategies for initiating positive interactions and improving learning opportunities.,"RL Koegel, LKE Koegel",Paul H Brookes Publishing,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=303453298648537406,481,1995
THE RELATIONSHIP OF SELF‐STIMULATION TO LEARNING IN AUTISTIC CHILDREN,"RL Koegel, A Covert","Journal of applied behavior analysis 5 (4), 381-387",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9553488843359039515,444,1972
Collateral effects of parent training on family interactions,"RL Koegel, A Bimbela, L Schreibman","Journal of autism and developmental disorders 26 (3), 347-359",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10799100116700288655,438,1996
Improving social skills and disruptive behavior in children with autism through self‐management,"LK Koegel, RL Koegel, C Hurley, WD Frea","Journal of Applied Behavior Analysis 25 (2), 341-353",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7490437280151091791,438,1992
Consistent stress profiles in mothers of children with autism,"RL Koegel, L Schreibman, LM Loos, H Dirlich-Wilhelm, G Dunlap, ...","Journal of autism and developmental disorders 22 (2), 205-216",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6907973184997764443,433,1992
