Title,Authors,Platform,Cited_url,Cited_count,Year
Synthesis of individual single-walled carbon nanotubes on patterned silicon wafers,"J Kong, HT Soh, AM Cassell, CF Quate, H Dai","Nature 395 (6705), 878",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12552097584551071169,1889,1998
Surface micromachined capacitive ultrasonic transducers,"I Ladabaum, X Jin, HT Soh, A Atalar, BT Khuri-Yakub","IEEE transactions on ultrasonics, ferroelectrics, and frequency control 45 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9273046940750459918,631,1998
Integrated nanotube circuits: Controlled growth and ohmic contacting of single-walled carbon nanotubes,"HT Soh, CF Quate, AF Morpurgo, CM Marcus, J Kong, H Dai","Applied Physics Letters 75 (5), 627-629",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7221536829053258276,493,1999
Marker-specific sorting of rare cells using dielectrophoresis,"X Hu, PH Bessette, J Qian, CD Meinhart, PS Daugherty, HT Soh","Proceedings of the national academy of sciences 102 (44), 15757-15761",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6758159051415000280,475,2005
Multitarget magnetic activated cell sorter,"JD Adams, U Kim, HT Soh","Proceedings of the National Academy of Sciences 105 (47), 18165-18170",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17759545708818315833,351,2008
Micromagnetic selection of aptamers in microfluidic channels,"X Lou, J Qian, Y Xiao, L Viel, AE Gerdon, ET Lagally, P Atzberger, ...","Proceedings of the National Academy of Sciences 106 (9), 2989-2994",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17479612587632739826,304,2009
"Continuous, real-time monitoring of cocaine in undiluted blood serum via a microfluidic, electrochemical aptamer-based sensor","JS Swensen, Y Xiao, BS Ferguson, AA Lubin, RY Lai, AJ Heeger, ...","Journal of the American Chemical Society 131 (12), 4262-4266",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15008479225095265995,303,2009
Carbon nanotube structures made using catalyst islands,"H Dai, CF Quate, H Soh, J Kong","US Patent 6,346,189",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3078011417213696218,290,2002
Fabrication of 0.1 μm metal oxide semiconductor field‐effect transistors with the atomic force microscope,"SC Minne, HT Soh, P Flueckiger, CF Quate","Applied Physics Letters 66 (6), 703-705",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12499473808858295364,271,1995
"Rapid, Sensitive, and Quantitative Detection of Pathogenic DNA at the Point of Care through Microfluidic Electrochemical Quantitative Loop‐Mediated Isothermal Amplification","K Hsieh, AS Patterson, BS Ferguson, KW Plaxco, HT Soh","Angewandte Chemie International Edition 51 (20), 4896-4900",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1208179685184669104,232,2012
