Title,Authors,Platform,Cited_url,Cited_count,Year
The formation of the first star in the universe,"T Abel, GL Bryan, ML Norman","science 295 (5552), 93-98",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15227060171319815505,1467,2002
How small were the first cosmological objects?,"M Tegmark, J Silk, MJ Rees, A Blanchard, T Abel, F Palla","The Astrophysical Journal 474 (1), 1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4888770282504873836,890,1997
The formation and fragmentation of primordial molecular clouds,"T Abel, GL Bryan, ML Norman","The Astrophysical Journal 540 (1), 39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9135210646862832723,713,2000
yt: A multi-code analysis toolkit for astrophysical simulation data,"MJ Turk, BD Smith, JS Oishi, S Skory, SW Skillman, T Abel, ML Norman","The Astrophysical Journal Supplement Series 192 (1), 9",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17288614918020396214,691,2010
Modelling primordial gas in numerical cosmology,"T Abel, P Anninos, Y Zhang, ML Norman",Arxiv preprint astro-ph/9608040,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17533559236243592147,3195189207195614254",639,1996
Simulations of early structure formation: Primordial gas clouds,"N Yoshida, T Abel, L Hernquist, N Sugiyama","The Astrophysical Journal 592 (2), 645",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6614671922057103645,510,2003
Enzo: An adaptive mesh refinement code for astrophysics,"GL Bryan, ML Norman, BW O'Shea, T Abel, JH Wise, MJ Turk, ...","The Astrophysical Journal Supplement Series 211 (2), 19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4928468135790904864,490,2014
Formation of primordial stars in a ΛCDM universe,"N Yoshida, K Omukai, L Hernquist, T Abel","The Astrophysical Journal 652 (1), 6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11638864986841800468,471,2006
The radiative feedback of the first cosmological objects,"Z Haiman, T Abel, MJ Rees","The Astrophysical Journal 534 (1), 11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12618195282164404315,426,2000
Multi-scale initial conditions for cosmological simulations,"O Hahn, T Abel","Monthly Notices of the Royal Astronomical Society 415 (3), 2101-2121",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15232092146727892106,395,2011
Simulations of pregalactic structure formation with radiative feedback,"ME Machacek, GL Bryan, T Abel","The Astrophysical Journal 548 (2), 509",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3019437448208130016,361,2001
Two distinct ancient components in the sculptor dwarf spheroidal galaxy: first results from the dwarf abundances and radial velocities team,"E Tolstoy, MJ Irwin, A Helmi, G Battaglia, P Jablonka, V Hill, KA Venn, ...","The Astrophysical Journal Letters 617 (2), L119",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8736194709466470767,353,2004
The formation of population III binaries from cosmological initial conditions,"MJ Turk, T Abel, B O'Shea","Science 325 (5940), 601-605",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9986749710720579443,343,2009
Cosmic reionization by stellar sources: Population II stars,"A Sokasian, T Abel, L Hernquist, V Springel","Monthly Notices of the Royal Astronomical Society 344 (2), 607-624","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2593166463918434907,13844977224165947659",336,2003
