Title,Authors,Platform,Cited_url,Cited_count,Year
"Individual differences in two emotion regulation processes: implications for affect, relationships, and well-being.","JJ Gross, OP John","Journal of personality and social psychology 85 (2), 348",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1964860212615292144,7822,2003
The emerging field of emotion regulation: An integrative review,JJ Gross,"Review of general psychology 2 (3), 271-299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14677134240952070540,7470,1998
Emotion regulation: Conceptual foundations.,"JJ Gross, RA Thompson",Guilford Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4469021049135893315,4634,2007
"Antecedent-and response-focused emotion regulation: divergent consequences for experience, expression, and physiology.",JJ Gross,"Journal of personality and social psychology 74 (1), 224",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7215332049526148587,4603,1998
The cognitive control of emotion,"KN Ochsner, JJ Gross","Trends in cognitive sciences 9 (5), 242-249",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9345647563801200189,4229,2005
"Emotion regulation: Affective, cognitive, and social consequences",JJ Gross,"Psychophysiology 39 (3), 281-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16761975298418231565,4162,2002
Rethinking feelings: an FMRI study of the cognitive regulation of emotion,"KN Ochsner, SA Bunge, JJ Gross, JDE Gabrieli","Journal of cognitive neuroscience 14 (8), 1215-1229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3695427096440135354,2713,2002
Hiding feelings: the acute effects of inhibiting negative and positive emotion.,"JJ Gross, RW Levenson","Journal of abnormal psychology 106 (1), 95",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=747777561561356095,2372,1997
Handbook of emotion regulation,JJ Gross,Guilford publications,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13658895284759431331,2329,2013
For better or for worse: neural systems supporting the cognitive down-and up-regulation of negative emotion,"KN Ochsner, RD Ray, JC Cooper, ER Robertson, S Chopra, JDE Gabrieli, ...","Neuroimage 23 (2), 483-499",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4568774798193525717,2131,2004
Emotion elicitation using films,"JJ Gross, RW Levenson","Cognition & emotion 9 (1), 87-108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11411628632172537068,2128,1995
"Healthy and unhealthy emotion regulation: Personality processes, individual differences, and life span development","OP John, JJ Gross","Journal of personality 72 (6), 1301-1334",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1117359967808437735,2092,2004
"Emotional suppression: physiology, self-report, and expressive behavior.","JJ Gross, RW Levenson","Journal of personality and social psychology 64 (6), 970",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12136421144671564100,2009,1993
Emotion regulation and mental health,"JJ Gross, RF Muñoz","Clinical psychology: Science and practice 2 (2), 151-164",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12631053418306468411,1746,1995
