Title,Authors,Platform,Cited_url,Cited_count,Year
Enhanced thermoelectric performance of rough silicon nanowires,"AI Hochbaum, R Chen, RD Delgado, W Liang, EC Garnett, M Najarian, ...","Nature 451 (7175), 163",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17915540899639447751,4028,2008
Thermal transport measurements of individual multiwalled nanotubes,"P Kim, L Shi, A Majumdar, PL McEuen","Physical review letters 87 (21), 215502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3505542505119309543,3582,2001
Opportunities and challenges for a sustainable energy future,"S Chu, A Majumdar","nature 488 (7411), 294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14111624695030847346,3575,2012
Nanoscale thermal transport,"DG Cahill, WK Ford, KE Goodson, GD Mahan, A Majumdar, HJ Maris, ...","Journal of applied physics 93 (2), 793-818",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14491591475577888826,2853,2003
Thermal conductivity of individual silicon nanowires,"D Li, Y Wu, P Kim, L Shi, P Yang, A Majumdar","Applied Physics Letters 83 (14), 2934-2936",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6330198146580765574,1773,2003
Bioassay of prostate-specific antigen (PSA) using microcantilevers,"G Wu, RH Datar, KM Hansen, T Thundat, RJ Cote, A Majumdar","Nature biotechnology 19 (9), 856",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9607356767524158030,1203,2001
Nanostructured thermoelectrics: big efficiency gains from small features,"CJ Vineis, A Shakouri, A Majumdar, MG Kanatzidis","Advanced Materials 22 (36), 3970-3980",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2860345708268128233,1201,2010
Fractal model of elastic-plastic contact between rough surfaces,"A Majumdar, B Bhushan","Journal of Tribology 113 (1), 1-11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8066986422725586351,1184,1991
Thermoelectricity in semiconductor nanostructures,A Majumdar,"Science 303 (5659), 777-778",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5568269376679319744,1055,2004
Solid-state thermal rectifier,"CW Chang, D Okawa, A Majumdar, A Zettl","Science 314 (5802), 1121-1124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7222596370008213200,1027,2006
Nanoscale thermal transport. II. 2003–2012,"DG Cahill, PV Braun, G Chen, DR Clarke, S Fan, KE Goodson, ...","Applied physics reviews 1 (1), 011305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2668065691411620812,1019,2014
"Nanowires, nanostructures and devices fabricated therefrom","A Majumdar, A Shakouri, TD Sands, P Yang, SS Mao, RE Russo, H Feick, ...","US Patent 6,882,051","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16840921391226638514,5283502309351420190,9947884820082707088,3483964727331931822",1013,2005
Microscale heat conduction in dielectric thin films,A Majumdar,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9977167603010653535,939,1993
Role of fractal geometry in roughness characterization and contact mechanics of surfaces,"A Majumdar, B Bhushan","Journal of tribology 112 (2), 205-216",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4965312245711420501,899,1990
Thermal conductance and thermopower of an individual single-wall carbon nanotube,"C Yu, L Shi, Z Yao, D Li, A Majumdar","Nano letters 5 (9), 1842-1846",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16785658765558888720,895,2005
Thermal conductivity reduction and thermoelectric figure of merit increase by embedding nanoparticles in crystalline semiconductors,"W Kim, J Zide, A Gossard, D Klenov, S Stemmer, A Shakouri, A Majumdar","Physical Review Letters 96 (4), 045901",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1494108889399385374,886,2006
Thermoelectricity in molecular junctions,"P Reddy, SY Jang, RA Segalman, A Majumdar","Science 315 (5818), 1568-1571",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7422433678116958463,807,2007
Fractal characterization and simulation of rough surfaces,"A Majumdar, CL Tien","Wear 136 (2), 313-327",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18010578026787794681,758,1990
Measuring thermal and thermoelectric properties of one-dimensional nanostructures using a microfabricated device,"L Shi, D Li, C Yu, W Jang, D Kim, Z Yao, P Kim, A Majumdar","Journal of heat transfer 125 (5), 881-888",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13956593211157962041,697,2003
Electrostatic control of ions and molecules in nanofluidic transistors,"R Karnik, R Fan, M Yue, D Li, P Yang, A Majumdar","Nano letters 5 (5), 943-948",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15638563336460976891,657,2005
Thermometry and thermal transport in micro/nanoscale solid-state devices and structures,"DG Cahill, K Goodson, A Majumdar","J. heat Transfer 124 (2), 223-241",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2036935642978107178,642,2001
Scanning thermal microscopy,A Majumdar,"Annual review of materials science 29 (1), 505-585",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16576306642433323165,631,1999
Origin of nanomechanical cantilever motion generated from biomolecular interactions,"G Wu, H Ji, K Hansen, T Thundat, R Datar, R Cote, MF Hagan, ...","Proceedings of the National Academy of Sciences 98 (4), 1560-1564",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10296040956701710871,597,2001
Nanowires for enhanced boiling heat transfer,"R Chen, MC Lu, V Srinivasan, Z Wang, HH Cho, A Majumdar","Nano letters 9 (2), 548-553",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6154690372065982948,576,2009
Transient ballistic and diffusive phonon heat transport in thin films,"AA Joshi, A Majumdar","Journal of Applied physics 74 (1), 31-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11638131567176262462,482,1993
