Title,Authors,Platform,Cited_url,Cited_count,Year
Recommendations for the pharmacological management of neuropathic pain: an overview and literature update,"RH Dworkin, AB O'Connor, J Audette, R Baron, GK Gourlay, ML Haanpää, ...","Mayo Clinic Proceedings 85 (3), S3-S14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10701387456748316790,1272,2010
Reflecting upon feelings: an fMRI study of neural systems supporting the attribution of emotion to self and other,"KN Ochsner, K Knierim, DH Ludlow, J Hanelin, T Ramachandran, ...","Journal of cognitive neuroscience 16 (10), 1746-1772",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11392554703119555690,897,2004
Control over brain activation and pain learned by using real-time functional MRI,"RC DeCharms, F Maeda, GH Glover, D Ludlow, JM Pauly, D Soneji, ...","Proceedings of the National Academy of Sciences 102 (51), 18626-18631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12336198599929206315,849,2005
Validation of proposed diagnostic criteria (the “Budapest Criteria”) for complex regional pain syndrome,"RN Harden, S Bruehl, RSGM Perez, F Birklein, J Marinus, C Maihofner, ...","Pain 150 (2), 268-274",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8078909109605203489,690,2010
Incidence of and risk factors for chronic opioid use among opioid-naive patients in the postoperative period,"EC Sun, BD Darnall, LC Baker, S Mackey","JAMA internal medicine 176 (9), 1286-1293",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2821439005748783865,363,2016
Report of the NIH Task Force on research standards for chronic low back pain,"RA Deyo, SF Dworkin, D Amtmann, G Andersson, D Borenstein, ...","Physical therapy 95 (2), e1-e18",,353,2015
Report of the NIH Task Force on research standards for chronic low back pain,"RA Deyo, SF Dworkin, D Amtmann, G Andersson, D Borenstein, ...","Physical therapy 95 (2), e1-e18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16276168939147334346,353,2015
Forebrain pain mechanisms,"V Neugebauer, V Galhardo, S Maione, SC Mackey","Brain research reviews 60 (1), 226-242",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15332898984162699398,313,2009
Interventional management of neuropathic pain: NeuPSIG recommendations,"RH Dworkin, AB O’Connor, J Kent, SC Mackey, SN Raja, BR Stacey, ...","PAIN® 154 (11), 2249-2261",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7834759725350506151,263,2013
Neural correlates of individual differences in pain-related fear and anxiety,"KN Ochsner, DH Ludlow, K Knierim, J Hanelin, T Ramachandran, ...","Pain 120 (1-2), 69-77",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13543935922621230111,247,2006
Radio frequency energy delivery system for multipolar electrode catheters,S Mackey,"US Patent 5,837,001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17992794955403205402,232,1998
