Title,Authors,Platform,Cited_url,Cited_count,Year
Atomically Thin ,"KF Mak, C Lee, J Hone, J Shan, TF Heinz","Physical review letters 105 (13), 136805",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2248285083662223147,9211,2010
"Progress, challenges, and opportunities in two-dimensional materials beyond graphene","SZ Butler, SM Hollen, L Cao, Y Cui, JA Gupta, HR Gutiérrez, TF Heinz, ...","ACS nano 7 (4), 2898-2926",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16465991479449141948,2967,2013
Anomalous Lattice Vibrations of Single- and Few-Layer MoS,"C Lee, H Yan, LE Brus, TF Heinz, J Hone, S Ryu","ACS nano 4 (5), 2695-2700",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7902060155848937924,2938,2010
Control of valley polarization in monolayer MoS,"KF Mak, K He, J Shan, TF Heinz","Nature nanotechnology 7 (8), 494",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9986130858912526720,2522,2012
Tightly bound trions in monolayer MoS,"KF Mak, K He, C Lee, GH Lee, J Hone, TF Heinz, J Shan","Nature materials 12 (3), 207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5544528716706994032,1662,2013
Spin and pseudospins in layered transition metal dichalcogenides,"X Xu, W Yao, D Xiao, TF Heinz","Nature Physics 10 (5), 343-350",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4187054514981033807,1442,2014
Grains and grain boundaries in highly crystalline monolayer molybdenum disulphide,"AM Van Der Zande, PY Huang, DA Chenet, TC Berkelbach, YM You, ...","Nature materials 12 (6), 554",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3963431009677706465,1429,2013
Measurement of the optical conductivity of graphene,"KF Mak, MY Sfeir, Y Wu, CH Lui, JA Misewich, TF Heinz","Physical review letters 101 (19), 196405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=803229038014826663,1384,2008
The optical resonances in carbon nanotubes arise from excitons,"F Wang, G Dukovic, LE Brus, TF Heinz","Science 308 (5723), 838-841",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6111698745829744845,1271,2005
Atomically thin p–n junctions with van der Waals heterointerfaces,"CH Lee, GH Lee, AM Van Der Zande, W Chen, Y Li, M Han, X Cui, ...","Nature nanotechnology 9 (9), 676",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10031906139611631896,1242,2014
Exciton binding energy and nonhydrogenic Rydberg series in monolayer WS 2,"A Chernikov, TC Berkelbach, HM Hill, A Rigosi, Y Li, OB Aslan, ...","Physical review letters 113 (7), 076802",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18156655295404131115,1103,2014
Piezoelectricity of single-atomic-layer MoS,"W Wu, L Wang, Y Li, F Zhang, L Lin, S Niu, D Chenet, X Zhang, Y Hao, ...","Nature 514 (7523), 470",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4768808831595319498,940,2014
A wideband coherent terahertz spectroscopy system using optical rectification and electro‐optic sampling,"A Nahata, AS Weling, TF Heinz","Applied physics letters 69 (16), 2321-2323",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12240918960982554772,881,1996
Performance of monolayer graphene nanomechanical resonators with electrical readout,"C Chen, S Rosenblatt, KI Bolotin, W Kalb, P Kim, I Kymissis, HL Stormer, ...","Nature nanotechnology 4 (12), 861",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1911717634704565444,836,2009
Carrier dynamics in semiconductors studied with time-resolved terahertz spectroscopy,"R Ulbricht, E Hendry, J Shan, TF Heinz, M Bonn","Reviews of Modern Physics 83 (2), 543",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15101592621942879742,726,2011
Visualizing individual nitrogen dopants in monolayer graphene,"L Zhao, R He, KT Rim, T Schiros, KS Kim, H Zhou, C Gutiérrez, ...","Science 333 (6045), 999-1003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12322122052486941911,699,2011
Chip-integrated ultrafast graphene photodetector with high responsivity,"X Gan, RJ Shiue, Y Gao, I Meric, TF Heinz, K Shepard, J Hone, S Assefa, ...","Nature Photonics 7 (11), 883",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13064361838252223162,688,2013
High-resolution scanning tunneling microscopy imaging of mesoscopic graphene sheets on an insulating surface,"E Stolyarova, KT Rim, S Ryu, J Maultzsch, P Kim, LE Brus, TF Heinz, ...","Proceedings of the National Academy of Sciences 104 (22), 9209-9212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8078631044205190624,643,2007
Ultraflat graphene,"CH Lui, L Liu, KF Mak, GW Flynn, TF Heinz","Nature 462 (7271), 339",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15208429411714945255,591,2009
"Measurement of the optical dielectric function of monolayer transition-metal dichalcogenides: MoS 2, Mo S e 2, WS 2, and WS e 2","Y Li, A Chernikov, X Zhang, A Rigosi, HM Hill, AM van der Zande, ...","Physical Review B 90 (20), 205422","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7737280242939086095,9035679248959636030",585,2014
Reversible basal plane hydrogenation of graphene,"S Ryu, MY Han, J Maultzsch, TF Heinz, P Kim, ML Steigerwald, LE Brus","Nano letters 8 (12), 4597-4602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2418265262695959245,561,2008
Observation of an electric-field-induced band gap in bilayer graphene by infrared spectroscopy,"KF Mak, CH Lui, J Shan, TF Heinz","Physical review letters 102 (25), 256405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17236171185901680172,547,2009
Phonon softening and crystallographic orientation of strained graphene studied by Raman spectroscopy,"M Huang, H Yan, C Chen, D Song, TF Heinz, J Hone","Proceedings of the National Academy of Sciences 106 (18), 7304-7308",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13599211808147756711,534,2009
Probing symmetry properties of few-layer MoS2 and h-BN by optical second-harmonic generation,"Y Li, Y Rao, KF Mak, Y You, S Wang, CR Dean, TF Heinz","Nano letters 13 (7), 3329-3333",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10053987737724560928,500,2013
Probing the intrinsic properties of exfoliated graphene: Raman spectroscopy of free-standing monolayers,"S Berciaud, S Ryu, LE Brus, TF Heinz","Nano letters 9 (1), 346-352",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1951492313888039813,499,2008
Optical spectroscopy of graphene: From the far infrared to the ultraviolet,"KF Mak, L Ju, F Wang, TF Heinz","Solid State Communications 152 (15), 1341-1349",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4244208245831570764,486,2012
Second-harmonic reflection from silicon surfaces and its relation to structural symmetry,"HWK Tom, TF Heinz, YR Shen",Physical Review Letters 51 (21),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4127523269609458211,476,1983
Second-harmonic Rayleigh scattering from a sphere of centrosymmetric material,"JI Dadap, J Shan, KB Eisenthal, TF Heinz","Physical Review Letters 83 (20), 4045",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7763174152973867688,474,1999
Observation of an electrically tunable band gap in trilayer graphene,"CH Lui, Z Li, KF Mak, E Cappelluti, TF Heinz","Nature Physics 7 (12), 944",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1290667502150196001,466,2011
Determination of molecular orientation of monolayer adsorbates by optical second-harmonic generation,"TF Heinz, HWK Tom, YR Shen","Physical Review A 28 (3), 1883",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2975186031875292486,462,1983
Spectroscopy of molecular monolayers by resonant second-harmonic generation,"TF Heinz, CK Chen, D Ricard, YR Shen","Physical Review Letters 48 (7), 478",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8578767724877524070,437,1982
Polaritons in layered two-dimensional materials,"T Low, A Chaves, JD Caldwell, A Kumar, NX Fang, P Avouris, TF Heinz, ...","Nature materials 16 (2), 182-194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=415737451750041496,406,2017
Time-resolved fluorescence of carbon nanotubes and its implication for radiative lifetimes,"F Wang, G Dukovic, LE Brus, TF Heinz","Physical review letters 92 (17), 177401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7387425638476351384,401,2004
Optical properties and band gap of single-and few-layer MoTe2 crystals,"C Ruppert, OB Aslan, TF Heinz","Nano letters 14 (11), 6231-6236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11425613387249170534,394,2014
Seeing many-body effects in single-and few-layer graphene: observation of two-dimensional saddle-point excitons,"KF Mak, J Shan, TF Heinz","Physical review letters 106 (4), 046401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4089664199786190830,376,2011
Ultrafast photoluminescence from graphene,"CH Lui, KF Mak, J Shan, TF Heinz","Physical review letters 105 (12), 127404",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16604049707668858568,374,2010
Observation of biexcitons in monolayer WSe,"Y You, XX Zhang, TC Berkelbach, MS Hybertsen, DR Reichman, ...","Nature Physics 11 (6), 477",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13875044985624674134,347,2015
Imaging stacking order in few-layer graphene,"CH Lui, Z Li, Z Chen, PV Klimov, LE Brus, TF Heinz","Nano letters 11 (1), 164-169",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10174327388287744013,336,2010
Study of Si (111) surfaces by optical second-harmonic generation: reconstruction and surface phase transformation,"TF Heinz, MMT Loy, WA Thompson","Physical review letters 54 (1), 63",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8731364647760483695,334,1985
Probing strain-induced electronic structure change in graphene by Raman spectroscopy,"M Huang, H Yan, TF Heinz, J Hone","Nano letters 10 (10), 4074-4079",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14435208378623815504,331,2010
Desorption of hydrogen from Si (100) 2× 1 at low coverages: The influence of π-bonded dimers on the kinetics,"U Höfer, L Li, TF Heinz","Physical Review B 45 (16), 9485",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10295541063377282950,328,1992
Theory of optical second-harmonic generation from a sphere of centrosymmetric material: small-particle limit,"JI Dadap, J Shan, TF Heinz","JOSA B 21 (7), 1328-1347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5185999582255080752,327,2004
Desorption induced by multiple electronic transitions,"JA Misewich, TF Heinz, DM Newns","Physical review letters 68 (25), 3737",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4902032138945163442,327,1992
