Title,Authors,Platform,Cited_url,Cited_count,Year
The psychology of human-computer interaction,"SK Card, TP Moran, A Newell",Lawrence Erlbaum Associates,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10283777595460270646,8520,1983
Readings in information visualization: using vision to think,M Card,Morgan Kaufmann,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12191840292477206207,11262135667876574642",6176,1999
Cone trees: Animated 3d visualizations of hierarchical information.,"GG Robertson, JD Mackinlay, SK Card","CHI 91, 189-194",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15989746828471022710,1919,1991
Information foraging.,"P Pirolli, S Card","Psychological review 106 (4), 643",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13355934761327090597,1864,1999
The keystroke-level model for user performance time with interactive systems,"SK Card, TP Moran, A Newell","Communications of the ACM 23 (7), 396-410",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14777947927189025463,1359,1980
The perspective wall: Detail and context smoothly integrated,"GG Robertson, JD Mackinlay, SK Card","Proceedings of ACM CHI 91, 173-179",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=352754515992574403,1181,1991
"Evaluation of mouse, rate-controlled isometric joystick, step keys, and text keys for text selection on a CRT","SK Card, WK English, BJ Burr","Ergonomics 21 (8), 601-613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15434964985795987342,1101,1978
"The information visualizer, an information workspace","SK Card, GG Robertson, JD Mackinlay",Proceedings of the SIGCHI Conference on Human factors in computing systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12987937771785470939,964,1991
The sensemaking process and leverage points for analyst technology as identified through cognitive task analysis,"P Pirolli, S Card","Proceedings of international conference on intelligence analysis 5, 2-4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12692808967310822433,942,2005
The table lens: merging graphical and symbolic representations in an interactive focus+ context visualization for tabular information,"R Rao, SK Card",Proceedings of the SIGCHI conference on Human factors in computing systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6324611127701697912,939,1994
Prefuse: a toolkit for interactive information visualization,"J Heer, SK Card, JA Landay",Proceedings of the SIGCHI conference on Human factors in computing systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8250135603751706292,916,2005
