Title,Authors,Platform,Cited_url,Cited_count,Year
Distributed video coding,"B Girod, AM Aaron, S Rane, D Rebollo-Monedero","Proceedings of the IEEE 93 (1), 71-83","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6936525716590686272,7645763021981600207",1672,2005
Watermarking of uncompressed and compressed video,"F Hartung, B Girod","Signal processing 66 (3), 283-301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15326807380240665727,1174,1998
Analysis of video transmission over lossy channels,"K Stuhlmüller, N Färber, M Link, B Girod","Selected Areas in Communications, IEEE Journal on 18 (6), 1012-1032",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4349887031881173125,937,2000
Wyner-Ziv coding of motion video,"A Aaron, R Zhang, B Girod",Conference Record of the Thirty-Sixth Asilomar Conference on Signals …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=826212963544967568,763,2002
What's wrong with mean-squared error?,B Girod,"Digital images and human vision, 207-220",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1920132254766207800,710,1993
Transform-domain Wyner-Ziv codec for video,"A Aaron, SD Rane, E Setton, B Girod","Visual Communications and Image Processing 2004 5308, 520-528",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11800698959066906830,592,2004
Compression with side information using turbo codes,"A Aaron, B Girod","Proceedings DCC 2002. Data Compression Conference, 252-261",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9994017598205703272,566,2002
Long-term memory motion-compensated prediction,"T Wiegand, X Zhang, B Girod","IEEE transactions on circuits and systems for video technology 9 (1), 70-84",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=398690582370032043,545,1999
Watermarking method and apparatus for compressed digital video,"B Girod, FHD Hartung","US Patent 5,809,139",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10521445819948788835,507,1998
Scalar costa scheme for information embedding,"JJ Eggers, R Bäuml, R Tzschoppe, B Girod","Signal Processing, IEEE Transactions on 51 (4), 1003-1019",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16305497058433751580,490,2003
Robust text detection in natural images with edge-enhanced maximally stable extremal regions,"H Chen, SS Tsai, G Schroth, DM Chen, R Grzeszczuk, B Girod","2011 18th IEEE International Conference on Image Processing, 2609-2612",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8653879580759317318,470,2011
Rate-adaptive codes for distributed source coding,"D Varodayan, A Aaron, B Girod","Signal processing 86 (11), 3123-3130",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14924314950527657729,426,2006
Cross-layer design of ad hoc networks for real-time video streaming,"E Setton, T Yoo, X Zhu, A Goldsmith, B Girod","IEEE Wireless Communications 12 (4), 59-65",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6471813635510733862,424,2005
Lagrange multiplier selection in hybrid video coder control,"T Wiegand, B Girod",Proceedings 2001 International Conference on Image Processing (Cat. No …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6740470812814167073,415,2001
Motion-compensating prediction with fractional-pel accuracy,B Girod,"IEEE Transactions on Communications 41 (4), 604-612",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13421994429150023189,392,1993
Feedback-based error control for mobile video transmission,"B Girod, N Färber","Proceedings of the IEEE 87 (10), 1707-1723",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7215965879133780064,388,1999
Outdoors augmented reality on mobile phone using loxel-based visual feature organization,"G Takacs, V Chandrasekhar, N Gelfand, Y Xiong, WC Chen, ...",Proceedings of the 1st ACM international conference on Multimedia …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13679648821473668790,377,2008
City-scale landmark identification on mobile devices,"DM Chen, G Baatz, K Köser, SS Tsai, R Vedantham, T Pylvänäinen, ...","CVPR 2011, 737-744",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6717037439807530374,366,2011
