Title,Authors,Platform,Cited_url,Cited_count,Year
"Ethnicity, insurgency, and civil war","JD Fearon, DD Laitin","American political science review 97 (1), 75-90","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4854781197089681025,10092366951765054094,17841481964196453844",8611,2003
Identity in formation: The Russian-speaking populations in the near abroad,"DD Laitin, JT Watkins IV",Cornell University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12314384257525947001,1862,1998
Explaining interethnic cooperation,"JD Fearon, DD Laitin","American political science review 90 (4), 715-735",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17109091434955405181,1801,1996
Violence and the social construction of ethnic identity,"JD Fearon, DD Laitin","International organization 54 (4), 845-877",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8603554265539046976,1215,2000
A theory of endogenous institutional change,"A Greif, DD Laitin","American political science review 98 (4), 633-652",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2997080372429659127,1150,2004
Hegemony and culture: Politics and change among the Yoruba,"DD Laitin, JT Watkins IV",University of Chicago Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16126272392933805077,955,1986
Ethnic and nationalist violence,"R Brubaker, DD Laitin","Annual Review of sociology 24 (1), 423-452",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13956275465603999370,947,1998
Are ethnic groups biological “species” to the human brain? Essentialism in our cognition of some social categories,"FJ GilWhite, R Astuti, S Atran, M Banton, P Boyer, SA Gelman, ...","Current anthropology 42 (4), 515-553",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10311665617681863794,668,2001
Neotrusteeship and the problem of weak states,"JD Fearon, DD Laitin","International security 28 (4), 5-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8361889898288789828,609,2004
"Solidary groups, informal accountability, and local public goods provision in rural China",LL Tsai,"American Political Science Review 101 (2), 355-372",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8051721305028389683,536,2007
Somalia: Nation in search of a state,AI Samatar,"Northeast African Studies 9 (3), 88-93","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4599308450641335927,7469294242285356671",509,1987
Bridging the quantitative-qualitative divide in political science,S Tarrow,"American Political Science Review 89 (2), 471-474","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14531519555702795024,6294253771416769929",486,1995
Language repertoires and state construction in Africa,DD Laitin,Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6501521592468403822,482,2007
