Title,Authors,Platform,Cited_url,Cited_count,Year
Incidence and types of adverse events and negligent care in Utah and Colorado,"EJ Thomas, DM Studdert, HR Burstin, EJ Orav, T Zeena, EJ Williams, ...","Medical care, 261-271",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8300826998249800274,2156,2000
Defensive medicine among high-risk specialist physicians in a volatile malpractice environment,"DM Studdert, MM Mello, WM Sage, CM DesRoches, J Peugh, K Zapert, ...","Jama 293 (21), 2609-2617",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5831930139929328745,1117,2005
Risk factors for retained instruments and sponges after surgery,"AA Gawande, DM Studdert, EJ Orav, TA Brennan, MJ Zinner","New England Journal of Medicine 348 (3), 229-235",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10413246898461198935,1019,2003
Analysis of errors reported by surgeons at three teaching hospitals,"AA Gawande, MJ Zinner, DM Studdert, TA Brennan","Surgery 133 (6), 614-621",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=954507769971774551,924,2003
"Claims, errors, and compensation payments in medical malpractice litigation","DM Studdert, MM Mello, AA Gawande, TK Gandhi, A Kachalia, C Yoon, ...","New England journal of medicine 354 (19), 2024-2033",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13017315967115744180,852,2006
Patterns of communication breakdowns resulting in injury to surgical patients,"CC Greenberg, SE Regenbogen, DM Studdert, SR Lipsitz, SO Rogers, ...","Journal of the American College of Surgeons 204 (4), 533-540",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7583119523432965437,745,2007
Costs of medical injuries in Utah and Colorado,"EJ Thomas, DM Studdert, JP Newhouse, BIW Zbar, KM Howard, ...","Inquiry, 255-264",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17115891856407223453,635,1999
Missed and delayed diagnoses in the ambulatory setting: a study of closed malpractice claims,"TK Gandhi, A Kachalia, EJ Thomas, AL Puopolo, C Yoon, TA Brennan, ...","Annals of internal medicine 145 (7), 488-496",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14260787756627839789,573,2006
Medical malpractice,"DM Studdert, MM Mello, TA Brennan",New England Journal of Medicine 350 (3),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18289943730988335387,10668720128557525176",440,2004
National costs of the medical liability system,"MM Mello, A Chandra, AA Gawande, DM Studdert","Health affairs 29 (9), 1569-1577",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9545716590861996178,415,2010
The Institute of Medicine report on medical errors—could it do harm?,TA Brennan,"New England Journal of Medicine 342 (15), 1123-1125",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=732612298989294805,415,2000
Medical errors involving trainees: a study of closed malpractice claims from 5 insurers,"H Singh, EJ Thomas, LA Petersen, DM Studdert","Archives of internal medicine 167 (19), 2030-2036",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5954941826634794752,411,2007
