Title,Authors,Platform,Cited_url,Cited_count,Year
Maximum Likelihood from Incomplete Data Via the ,"AP Dempster, NM Laird, DB Rubin","Journal of the Royal Statistical Society: Series B (Methodological) 39 (1), 1-22","https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=7728340850644612874,17208739079430733261,8831830863185698932,18374306109522183032,11771134563658659988",58916,1977
Statistical analysis with missing data,"RJA Little, DB Rubin",John Wiley & Sons,"https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=12917783118280788181,1115776289098302257,14377931824759359169",26808,2019
Bayesian data analysis,"A Gelman, J Carlin, H Stern, DB Rubin",CRC press,https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=14991946610748763258,25460,2004
The central role of the propensity score in observational studies for causal effects,"PR Rosenbaum, DB Rubin","Biometrika 70 (1), 41-55",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=12468311528939246201,24618,1983
Multiple imputation for nonresponse in surveys,DB Rubin,John Wiley & Sons,"https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=13686760708903923725,5380934555600951094",19111,2004
Inference from iterative simulation using multiple sequences,"A Gelman, DB Rubin","Statistical science 7 (4), 457-472","https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=13521512932780210780,947065878572279654",11053,1992
Analysis of survival data,DR Cox,Chapman and Hall/CRC,"https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=7471007162901016746,15359032237412671832",10123,2018
Inference and missing data,DB Rubin,"Biometrika 63 (3), 581-592",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=3086695308329827150,9017,1976
Estimating causal effects of treatments in randomized and nonrandomized studies.,DB Rubin,"Journal of educational Psychology 66 (5), 688",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=1097359084184897574,7218,1974
Statistics and causal inference,PW Holland,"Journal of the American statistical Association 81 (396), 945-960","https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=13497552754821661913,800808323513503982",5502,1986
Identification of causal effects using instrumental variables,"JD Angrist, GW Imbens, DB Rubin","Journal of the American statistical Association 91 (434), 444-455","https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=17166265099721941605,3171785726983152511",5295,1996
Constructing a control group using multivariate matched sampling methods that incorporate the propensity score,"PR Rosenbaum, DB Rubin","The American Statistician 39 (1), 33-38",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=8016233144901231725,5292,1985
Reducing bias in observational studies using subclassification on the propensity score,"PR Rosenbaum, DB Rubin","Journal of the American statistical Association 79 (387), 516-524",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=13407511478578192141,3953,1984
Multiple imputation after 18+ years,DB Rubin,"Journal of the American statistical Association 91 (434), 473-489","https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=5174580530784653982,7748990628373256091",3571,1996
Randomization analysis of experimental data: The Fisher randomization test comment,DB Rubin,"Journal of the American Statistical Association 75 (371), 591-593","https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=17577887705746685732,1028215504649571481,6857541113506508075,2599528088159054141,11278527825440276332,16752190223666124976,10762002702257659029,8127010701482073178,7586254107353761985,13101533003356904548,4209851838255496161,11136095235827419103,1196075881297392627,1960381182194823632",3027,1980
Estimating causal effects from large data sets using propensity scores,DB Rubin,"Annals of internal medicine 127 (8_Part_2), 757-763",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=11532401936779185942,2883,1997
Testing the number of components in a normal mixture,"Y Lo, NR Mendell, DB Rubin","Biometrika 88 (3), 767-778",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=17236676200153360315,2689,2001
Bayesian inference for causal effects: The role of randomization,DB Rubin,"The Annals of statistics, 34-58",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=1401091262064417874,2490,1978
Comparing correlated correlation coefficients.,"XL Meng, R Rosenthal, DB Rubin","Psychological bulletin 111 (1), 172",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=6339990686311864119,2376,1992
Maximum likelihood estimation via the ECM algorithm: A general framework,"XL Meng, DB Rubin","Biometrika 80 (2), 267-278",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=8927088972487241135,1765,1993
"Causal inference in statistics, social, and biomedical sciences","GW Imbens, DB Rubin",Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=12425750260779193002,1725,2015
Assignment to treatment group on the basis of a covariate,DB Rubin,"Journal of educational Statistics 2 (1), 1-26",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=18028763397255177498,1590,1977
Contrasts and effect sizes in behavioral research: A correlational approach,"R Rosenthal, RL Rosnow, DB Rubin",Cambridge University Press,"https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=156067472595152553,13114686784239795545",1483,2000
Interpersonal expectancy effects: The first 345 studies,"R Rosenthal, DB Rubin","Behavioral and Brain Sciences 1 (3), 377-386",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=5877215084699267847,1451,1978
"A simple, general purpose display of magnitude of experimental effect.","R Rosenthal, DB Rubin","Journal of educational psychology 74 (2), 166",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=4650650162273359410,1407,1982
Using propensity scores to help design observational studies: application to the tobacco litigation,DB Rubin,"Health Services and Outcomes Research Methodology 2 (3-4), 169-188",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=7526481130879418149,1384,2001
Principal stratification in causal inference,"CE Frangakis, DB Rubin","Biometrics 58 (1), 21-29",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=2964795364424178775,1284,2002
Bayesianly justifiable and relevant frequency calculations for the applied statistician,DB Rubin,"The Annals of Statistics 12 (4), 1151-1172",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=13416255376351912125,1246,1984
Matching using estimated propensity scores: relating theory to practice,"DB Rubin, N Thomas","Biometrics, 249-264",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=9359105358355404939,1237,1996
Combining results of independent studies.,R Rosenthal,"Psychological bulletin 85 (1), 185","https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=4332632176520908047,12533299795080285620",1205,1978
"Causal inference using potential outcomes: Design, modeling, decisions",DB Rubin,"Journal of the American Statistical Association 100 (469), 322-331",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=9118322790993322912,1139,2005
The analysis of social science data with missing values,"RJA Little, DB Rubin","Sociological Methods & Research 18 (2-3), 292-326",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=3977141698303525722,1086,1989
The bayesian bootstrap,DB Rubin,"The annals of statistics, 130-134",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=14869438432731729492,1078,1981
Multiple imputation in health‐are databases: An overview and some applications,"DB Rubin, N Schenker","Statistics in medicine 10 (4), 585-598",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=17085783098762148626,1070,1991
Controlling bias in observational studies: A review,"WG Cochran, DB Rubin","Sankhyā: The Indian Journal of Statistics, Series A, 417-446",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=7702398344480409750,1036,1973
Multiple imputations in sample surveys-a phenomenological Bayesian approach to nonresponse,DB Rubin,Proceedings of the survey research methods section of the American …,https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=11335641601602844368,909,1978
Using multivariate matched sampling and regression adjustment to control bias in observational studies,DB Rubin,"Journal of the American Statistical Association 74 (366a), 318-328","https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=10453768752630259432,5072384423429222246",908,1979
Matching to remove bias in observational studies,DB Rubin,"Biometrics, 159-183",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=8504743289034246887,891,1973
Assessing sensitivity to an unobserved binary covariate in an observational study with binary outcome,"PR Rosenbaum, DB Rubin",Journal of the Royal Statistical Society: Series B (Methodological) 45 (2 …,https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=8290896312053130334,886,1983
The design versus the analysis of observational studies for causal effects: parallels with the design of randomized trials,DB Rubin,"Statistics in medicine 26 (1), 20-36",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=4538567110214014593,817,2007
Fully conditional specification in multivariate imputation,"S Van Buuren, JPL Brand, CGM Groothuis-Oudshoorn, DB Rubin","Journal of statistical computation and simulation 76 (12), 1049-1064",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=13915189919303601282,808,2006
Using the SIR algorithm to simulate posterior distributions,DB Rubin,"Bayesian statistics 3, 395-402",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=10316745942404345325,799,1988
Bayesian data analysis (Vol. 2),"A Gelman, JB Carlin, HS Stern, DB Rubin","Boca Raton, FL: Chapman",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=12262504514221969040,778,2014
Matched sampling for causal effects,DB Rubin,Cambridge University Press,https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=11055482650696191435,723,2006
Causal effects in clinical and epidemiological studies via potential outcomes: concepts and analytical approaches,"RJ Little, DB Rubin","Annual review of public health 21 (1), 121-145",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=15549752620769852978,661,2000
Using EM to obtain asymptotic variance-covariance matrices: The SEM algorithm,"XL Meng, DB Rubin","Journal of the American Statistical Association 86 (416), 899-909",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=14810365214875730184,654,1991
EM algorithms for ML factor analysis,"DB Rubin, DT Thayer","Psychometrika 47 (1), 69-76",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=1098337296378659963,654,1982
Combining propensity score matching with additional adjustments for prognostic covariates,"DB Rubin, N Thomas","Journal of the American Statistical Association 95 (450), 573-585",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=10064215033939885896,653,2000
Ignorability and coarse data,"DF Heitjan, DB Rubin","The annals of statistics, 2244-2253",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=2672821452456344703,644,1991
Estimation in covariance components models,"AP Dempster, DB Rubin, RK Tsutakawa","Journal of the American Statistical Association 76 (374), 341-353",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=15269843907061732894,617,1981
The use of matched sampling and regression adjustment to remove bias in observational studies,DB Rubin,"Biometrics, 185-203",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=9952194176930020473,611,1973
"For objective causal inference, design trumps analysis",DB Rubin,"The Annals of Applied Statistics 2 (3), 808-840",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=1475010492734457276,590,2008
Miscellanea. Small-sample degrees of freedom with multiple imputation,"J Barnard, DB Rubin","Biometrika 86 (4), 948-955",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=225363261222938037,589,1999
Statistical disclosure limitation,DB Rubin,"Journal of official Statistics 9 (2), 461-468","https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=13628481570316188333,8712007907037851724",572,1993
Bayesian inference for causal effects in randomized experiments with noncompliance,"GW Imbens, DB Rubin","The annals of statistics, 305-327",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=22337461719422698,560,1997
Bias reduction using Mahalanobis-metric matching,DB Rubin,"Biometrics, 293-298",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=7890659131152160899,560,1980
The ECME algorithm: a simple extension of EM and ECM with faster monotone convergence,"C Liu, DB Rubin","Biometrika 81 (4), 633-648",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=8925597819009506181,552,1994
The bias due to incomplete matching,"PR Rosenbaum, DB Rubin","Biometrics, 103-116",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=18041561543899367121,530,1985
Comment: Neyman (1923) and causal inference in experiments and observational studies,DB Rubin,"Statistical Science 5 (4), 472-480","https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=13328445414461973339,3711919882726817201",499,1990
Comparing effect sizes of independent studies.,"R Rosenthal, DB Rubin","Psychological bulletin 92 (2), 500",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=17735521634785576836,499,1982
"Estimating the effect of unearned income on labor earnings, savings, and consumption: Evidence from a survey of lottery players","GW Imbens, DB Rubin, BI Sacerdote","American economic review 91 (4), 778-794","https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=7183800703918914021,16632171029533051319",493,2001
Formalizing subjective notions about the effect of nonrespondents in sample surveys,DB Rubin,"Journal of the American Statistical Association 72 (359), 538-543","https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=6201089209772083807,18048244054442732966",488,1977
Formal mode of statistical inference for causal effects,DB Rubin,"Journal of statistical planning and inference 25 (3), 279-292",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=11994138935405290290,438,1990
Contrasts and correlations in effect-size estimation,"RL Rosnow, R Rosenthal, DB Rubin","Psychological science 11 (6), 446-453",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=18054109260713857765,437,2000
Parameter expansion to accelerate EM: the PX-EM algorithm,"C Liu, DB Rubin, YN Wu","Biometrika 85 (4), 755-770",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=10832893660231782953,430,1998
Multiple imputation for statistical disclosure limitation,"TE Raghunathan, JP Reiter, DB Rubin","Journal of official statistics 19 (1), 1",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=13786653789936897914,416,2003
Addressing complications of intention-to-treat analysis in the combined presence of all-or-none treatment-noncompliance and subsequent missing outcomes,"CE Frangakis, DB Rubin","Biometrika 86 (2), 365-379",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=6710498332730230685,407,1999
Estimation and hypothesis testing in finite mixture models,"M Aitkin, DB Rubin",Journal of the Royal Statistical Society: Series B (Methodological) 47 (1 …,https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=489238191460578367,402,1985
Estimating outcome distributions for compliers in instrumental variables models,"GW Imbens, DB Rubin","The Review of Economic Studies 64 (4), 555-574",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=5772821783192903810,390,1997
"ML estimation of the t distribution using EM and its extensions, ECM and ECME","C Liu, DB Rubin","Statistica Sinica, 19-39",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=1127028320714523944,381,1995
Statistical matching using file concatenation with adjusted weights and multiple imputations,DB Rubin,"Journal of Business & Economic Statistics 4 (1), 87-94",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=2338312800049735875,367,1986
Meta-analytic procedures for combining studies with multiple effect sizes.,"R Rosenthal, DB Rubin","Psychological bulletin 99 (3), 400",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=188155905704392003,364,1986
Assessing the effect of an influenza vaccine in an encouragement design,"K Hirano, GW Imbens, DB Rubin, XH Zhou","Biostatistics 1 (1), 69-88",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=16605333405419963768,362,2000
Criminality in XYY and XXY men,"HA Witkin, SA Mednick, F Schulsinger, E Bakkestrøm, KO Christiansen, ...","Science 193 (4253), 547-555",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=18336283569125572446,348,1976
Statistical analysis with missing data,DB Rubin,Wiley,https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=6661044937432194545,344,1987
Direct and indirect causal effects via potential outcomes,DB Rubin,"Scandinavian Journal of Statistics 31 (2), 161-170",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=14274030816716721724,342,2004
A potential outcomes view of value-added assessment in education,"DB Rubin, EA Stuart, EL Zanutto","Journal of educational and behavioral statistics 29 (1), 103-116",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=7842083897715678783,339,2004
Measuring the appropriateness of multiple-choice test scores,"MV Levine, DB Rubin","Journal of educational statistics 4 (4), 269-290",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=18041896276056384195,338,1979
A single series from the Gibbs sampler provides a false sense of security,"A Gelman, DB Rubin","Bayesian statistics 4, 625-631",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=3622435148340730587,335,1992
Intention‐to‐treat analysis and the goals of clinical trials,"LB Sheiner, DB Rubin","Clinical Pharmacology & Therapeutics 57 (1), 6-15",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=9067374295329958928,323,1995
Best practices in quasi-experimental designs,"EA Stuart, DB Rubin","Best practices in quantitative methods, 155-176",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=3521739751088294261,322,2008
Practical implications of modes of statistical inference for causal effects and the critical role of the assignment mechanism,DB Rubin,"Biometrics, 1213-1234",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=6994530731209729334,319,1991
In utero exposure to phenobarbital and intelligence deficits in adult men,"JM Reinisch, SA Sanders, EL Mortensen, DB Rubin","Jama 274 (19), 1518-1525",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=12185035947582702026,317,1995
Performing likelihood ratio tests with multiply-imputed data sets,"XL Meng, DB Rubin","Biometrika 79 (1), 103-111",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=6343646967539125766,301,1992
Further meta-analytic procedures for assessing cognitive gender differences.,"R Rosenthal, DB Rubin","Journal of Educational Psychology 74 (5), 708",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=10924456182512247702,297,1982
Large-sample significance levels from multiply imputed data using moment-based statistics and an F reference distribution,"KH Li, TE Raghunathan, DB Rubin","Journal of the American Statistical Association 86 (416), 1065-1073",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=18039292019988250134,292,1991
Incomplete data in sample surveys,WG Madow,Academic Pr,"https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=3516195350716021711,15547860750251985186,2178605799499153748",282,1983
Principal stratification approach to broken randomized experiments: A case study of school choice vouchers in New York City,"J Barnard, CE Frangakis, JL Hill, DB Rubin","Journal of the American Statistical Association 98 (462), 299-323",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=17977225150754412946,274,2003
Estimation in parallel randomized experiments,DB Rubin,"Journal of Educational Statistics 6 (4), 377-401",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=12100618392370136370,272,1981
Estimation of causal effects via principal stratification when some outcomes are truncated by “death”,"JL Zhang, DB Rubin","Journal of Educational and Behavioral Statistics 28 (4), 353-368",https://scholar.google.com/scholar?oi=bibs&hl=vi&cites=2956998552246388896,269,2003
