nid,url,title,logo,core_id,score,rank_display,country,region,stars,guide,rank,name_for_searching_gs,org_id
294850,/universities/massachusetts-institute-technology-mit,Massachusetts Institute of Technology (MIT),"<img src=""https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_small_0.jpg"" alt=""Massachusetts Institute of Technology (MIT) Logo"">",410,100,1,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",1,Massachusetts+Institute+of+Technology,-1
297282,/universities/stanford-university,Stanford University,"<img src=""https://www.topuniversities.com/sites/default/files/stanford-university_573_small_0.jpg"" alt=""Stanford University Logo"">",573,98.4,2,United States,North America,6,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",2,Stanford+University,-1
294270,/universities/harvard-university,Harvard University,"<img src=""https://www.topuniversities.com/sites/default/files/harvard-university_253_small_0.jpg"" alt=""Harvard University Logo"">",253,97.4,3,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",3,Harvard+University,-1
294562,/universities/california-institute-technology-caltech,California Institute of Technology (Caltech),"<img src=""https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_small_1.jpg"" alt=""California Institute of Technology (Caltech) Logo"">",94,96.9,5,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",5,California+Institute+of+Technology,-1
294536,/universities/university-chicago,University of Chicago,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-chicago_120_small_0.jpg"" alt=""University of Chicago Logo"">",120,92,10,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",10,University+of+Chicago,-1
297490,/universities/princeton-university,Princeton University,"<img src=""https://www.topuniversities.com/sites/default/files/princeton-university_508_small_0.jpg"" alt=""Princeton University Logo"">",508,90.9,13,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",13,Princeton+University,-1
294514,/universities/cornell-university,Cornell University,"<img src=""https://www.topuniversities.com/sites/default/files/cornell-university_143_small_0.jpg"" alt=""Cornell University Logo"">",143,89.3,14,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",14,Cornell+University,-1
297569,/universities/university-pennsylvania,University of Pennsylvania,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_small.jpg"" alt=""University of Pennsylvania Logo"">",495,88.9,15,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",15,University+of+Pennsylvania,-1
297177,/universities/yale-university,Yale University,"<img src=""https://www.topuniversities.com/sites/default/files/yale-university_684_small_1.jpg"" alt=""Yale University Logo"">",684,87.7,17,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",17,Yale+University,-1
294519,/universities/columbia-university,Columbia University,"<img src=""https://www.topuniversities.com/sites/default/files/columbia-university_138_small_0.jpg"" alt=""Columbia University Logo"">",138,87.4,18,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",18,Columbia+University,-1
